Company,Company Name for Emails,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
Ostara Nutrient Recovery Technologies Inc.,Ostara Nutrient Recovery,63,machinery,tbeal@natoli.com,http://www.ostara.com,http://www.linkedin.com/company/ostara-nutrient-recovery-technolgies,https://www.facebook.com/Crystal-Green-by-Ostara-103006908502912,https://twitter.com/ostaratech,1001 N Warson Rd,St. Louis,Missouri,United States,63132-2900,"1001 N Warson Rd, St. Louis, Missouri, United States, 63132-2900","nutrient recovery, sustainability, fertilizer production, agriculture, construction, mining machinery manufacturing, nutrient recovery solutions, b2b, soil health, high-efficiency fertilizers, citrate soluble fertilizer, plant-available nutrients, wastewater nutrient recovery, all other crop farming, agriculture, water quality improvement, phosphorus recovery from wastewater, environmental services, nutrient response to crop demand, sustainable crop nutrition, crystal green pearl, services, crystal green fertilizer, environmental protection, water treatment, nutrient efficiency, leaching reduction, runoff prevention, phosphorus management, phosphorus fertilizer, crop yield maximization, season-long nutrient supply, e-commerce, manufacturing, distribution, renewables & environment, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 604-408-6697,"Cloudflare DNS, MailJet, Outlook, Media Temple SSL, Cloudways, WordPress.org, YouTube, Gravity Forms, reCAPTCHA, Nginx, Google Tag Manager, Shutterstock, Mobile Friendly, Remote",191910000,Other,7570000,3/1/2023,4900000,,69726e748e65570001f3cb07,2879,11199,"Ostara Nutrient Recovery Technologies Inc. is a Vancouver-based company founded in 2005, originating from the University of British Columbia. The company focuses on transforming wastewater treatment plants into resource recovery centers by recovering phosphorus and nitrogen from wastewater streams. This process produces eco-friendly fertilizers while addressing nutrient pollution and reducing operational costs for utilities. Ostara operates multiple facilities across North America and Europe, employing around 40 people.

The company’s core technologies include Pearl® and WASSTRIP®, which extract nutrients to create Crystal Green®, a market-ready fertilizer sold in pellet form. These systems can be integrated into wastewater plants, enabling closed-loop solutions that enhance food security and protect water resources. Ostara also offers nutrient management solutions, including the design, installation, and operation of recovery systems that improve plant reliability and generate revenue from fertilizer sales. Their technology has been deployed in various commercial settings, including notable installations like the Stickney Water Reclamation Plant in Chicago.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e214ac1109500012b4c9a/picture,,,,,,,,
Neurohacker Collective,Neurohacker Collective,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3cb09,,,,,,,,,,,,,
BrainMD Health,BrainMD Health,24,"health, wellness & fitness",tbeal@natoli.com,http://www.brainmd.com,http://www.linkedin.com/company/brainmd,https://www.facebook.com/BrainMDHealth,https://twitter.com/brainmdhealth,1929 Main St,Irvine,California,United States,92614,"1929 Main St, Irvine, California, United States, 92614","brain health, nutrition, mental health support, supplements, wellness & fitness services, b2c, mental wellness products, brain inflammation reduction, antioxidant-rich formulas, neurogenesis support, d2c, brain aging prevention, e-commerce, services, cognitive enhancement, retail, focus supplements, sleep support supplements, education, ethically sourced ingredients, neurotransmitter support, mood support, neuroprotective vitamins, stress reduction supplements, natural supplements, cognitive enhancers, science-based formulations, brain scan data, brain optimization protocols, brain health education, brain detoxification, neurotransmitter balancing, neuroplasticity support, brain resilience, brain nutrition, mental clarity, natural nootropics, brain health supplements, manufacturing, clinically-researched ingredients, mood boosters, nootropics, brain optimization, mental health, pharmaceutical and medicine manufacturing, mental health products, memory support, memory vitamins, healthcare, brain scan database, sleep aids, supplement subscription service, brain supplements, brain detox, brain energy boosters, distribution, consumer products & retail, health, wellness & fitness, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering, hospital & health care, health care",'+1 888-850-5287,"Fastly CDN, DNS Made Easy, Amazon SES, Sendgrid, Outlook, Microsoft Office 365, Helpscout, UPS, Magento, Adobe Marketing Cloud, Segment.io, Bing Ads, Linkedin Marketing Solutions, reCAPTCHA, Facebook Login (Connect), Google AdWords Conversion, DoubleClick Conversion, Facebook Custom Audiences, Bootstrap Framework, CrazyEgg, Criteo, Google Dynamic Remarketing, Olark, Google Analytics, WordPress.org, Google Tag Manager, Braintree, Vimeo, Yotpo, New Relic, Hotjar, DoubleClick, YouTube, Kaltura, Facebook Widget, Cedexis Radar, BounceExchange, Mobile Friendly, Google Font API, Adobe Media Optimizer, Circle, Reviews, AI",200000,Other,200000,12/1/2015,6500000,,69726e748e65570001f3cb0a,2834,32541,"BrainMD is a science-based nutraceutical company founded by Dr. Daniel G. Amen, specializing in brain-healthy supplements and nutritional products. The company focuses on optimizing brain health and overall wellness through clinically-researched formulations. Dr. Amen, a double board-certified psychiatrist and clinical neuroscientist, established BrainMD to provide non-toxic dietary supplement alternatives after discovering the potential harm of some prescription medications on brain health.

The company offers a diverse line of 30 supplement products designed to support various brain functions, including memory, mood, and focus. Notable products include NeuroVite Plus, Omega-3 Power, Vitamin D3 5000, and Brain & Memory Power Boost. BrainMD emphasizes quality control, using clinically-researched ingredients and rigorous testing standards to ensure the effectiveness and safety of its products. The company is headquartered in Irvine, California, and operates with a small team dedicated to promoting brain health through education and high-quality supplements.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696c3d0050c5f30001bc3f03/picture,,,,,,,,
Lief Labs,Lief Labs,110,"health, wellness & fitness",tbeal@natoli.com,http://www.lieflabs.com,http://www.linkedin.com/company/lieflabs,https://www.facebook.com/Lief-Labs-1913233039005005/,,28903 Avenue Paine,Santa Clarita,California,United States,91355,"28903 Avenue Paine, Santa Clarita, California, United States, 91355","supplements, supplement manufacturing, vitamins, tablets, powders, capsules, seamless partnership, quality control, state of the art labratory, full service, in house formulas, organic certified, wellness & fitness services, amazon fba support, nutraceuticals, formulation of weight management products, international registration support, customer experience, kosher certification, dietary supplements, flavoring, sustainable manufacturing, organic certification, health and wellness, customer service, fda registration, high-volume production, supply chain management, brand strategy, regulatory compliance, logistics support, digital marketing, product innovation, formulation, prime ready shipping, nutricosmetics development, supply chain optimization, contract manufacturing, advanced machinery, market research, cgmp, industry certifications, industry 4.0, testing and validation, supply chain, quality assurance, custom formulations, manufacturing, doll, toy, and game manufacturing, e-commerce, product formulation, automation, product safety testing, private label manufacturing, fda compliant, manufacturing solutions, international compliance, functional powders, white label services, consulting, services, ai integration, food and beverage, supplements and nutraceuticals, private label, supplement production, iso/iec 17025, custom flavor creation, flavor development, non-gmo, herbal supplement manufacturing, product development, b2b, healthcare, supplement industry, fda, usda organic, kosher, international, mobile devices, mobile, internet, information technology & services, health, wellness & fitness, logistics & supply chain, marketing & advertising, mechanical or industrial engineering, consumer internet, consumers, food & beverages, consumer goods, health care, hospital & health care",'+1 661-775-2500,"Outlook, Microsoft Office 365, Amazon AWS, Sigma, Circle",,,,,60000000,,69726e748e65570001f3cb0f,2046,33993,"Lief Labs is a formulation and product development company based in Valencia, California, specializing in dietary supplements. Founded in 2008 by Adel Villalobos, the company operates a cGMP-certified and FDA-registered biomanufacturing facility. Lief Labs offers full-service manufacturing of supplements in various forms, including powders, tablets, and capsules, along with in-house product development, research and development, and flavoring services.

With a focus on quality and innovation, Lief Labs employs around 200 people and generates approximately $50.1 million in revenue. The company emphasizes turnkey solutions for scalability and regulatory compliance, particularly for entrepreneurial brands. Its leadership includes Chief Science Officer Chioma Ikonte, PhD, who leads scientific research and product development. Lief Labs is dedicated to building premium brands through innovative collaborations and exceptional customer service.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69706045aa1ed60001f58386/picture,,,,,,,,
Precision Compounding Center,Precision Compounding Center,,,tbeal@natoli.com,http://www.precisioncompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f295f,,,,,,,,,,,,,
WellSource Compounding,WellSource Compounding,,,tbeal@natoli.com,http://www.wellsourcecompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f296e,,,,,,,,,,,,,
Alveo Energy,Alveo Energy,3,electrical/electronic manufacturing,tbeal@natoli.com,http://www.alveoenergy.co.za,http://www.linkedin.com/company/alveo-energy-pty-ltd,,,30 Mynhardt Street,Cape Town,Western Cape,South Africa,7129,"30 Mynhardt Street, Cape Town, Western Cape, South Africa, 7129","appliances, electrical, & electronics manufacturing, turnkey solutions, electrical engineering, consulting, design, supply, manufacture, installation, maintenance, industrial automation, plc control systems, building management systems, software development, hmi software, renewable energy, solar pv, chp, dual fuel engines, wind turbines, electrical design, refurbishment, support services, on-site fault finding, remote support, water treatment, wastewater treatment, reverse osmosis, ultra filtration, disinfection, flocculation, marine refrigeration, tank monitoring, food processing, fermentation, wine automation, agriculture solutions, automated feeders, mobile pump sets, cold storage systems, power generation, automatic transfer switches, uninterrupted power supplies, machine automation, fire detection systems, gas detection systems, heat treatment systems, process automation, digitization, digital systems, energy analysis, reliable installations, b2b, government, services, electrical/electronic manufacturing, mechanical or industrial engineering, information technology & services, clean energy & technology, environmental services, renewables & environment, food & beverages, consumer goods, consumers",,"Outlook, Microsoft Office 365, Mobile Friendly, Apache, Bootstrap Framework, Google Font API, Remote",,,,,,,68cc5bb4e1b964001dde1b7b,3621,54133,"Electrical engineering services, factory automation, MCC and control panel manufacturing",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e5444b1b64900001a1c65c/picture,,,,,,,,
Group14 Technologies,Group14,400,mechanical or industrial engineering,tbeal@natoli.com,http://www.group14.technology,http://www.linkedin.com/company/group14-technologies,,https://twitter.com/group14tech,8502 Maltby Rd,Woodinville,Washington,United States,98072-8021,"8502 Maltby Rd, Woodinville, Washington, United States, 98072-8021","manufacturing, other motor vehicle parts manufacturing, battery materials, silicon battery innovation, silicon battery lifecycle extension, energy storage, silicon battery factories, silicon battery, global supply chain, silicon battery performance, silicon battery supply chain resilience, battery materials supply, silicon battery energy density, battery manufacturing, silicon battery supply chain, clean energy, silicon-carbon composite, battery industry, battery scaling, battery innovation, scalable manufacturing, silicon battery production, silicon battery for renewable energy, silicon battery scaling, silicon battery fast charging, fast charging batteries, silicon battery technology, b2b, energy storage solutions, consumer electronics batteries, electric vehicle batteries, silicon anode material, silicon battery technology scaling, local production, silicon battery material, silicon anode manufacturing, silicon battery r&d, silicon battery market, data center batteries, silicon battery supply chain security, silicon battery energy storage, silicon battery performance optimization, consumer electronics, energy density, energy security, electric vehicles, silicon battery supply, silicon battery development, silicon manufacturing, silane gas production, automotive, silicon battery for data centers, supply chain resilience, renewable energy, silicon anode, silane manufacturing, battery performance, silicon anode technology, government, silicon battery for electronics, modular factories, silicon battery solutions, data centers, silicon anodes, silicon battery manufacturing process, battery performance enhancement, silicon battery for evs, silicon battery industry development, advanced materials, long cycle life batteries, silicon battery industry, longer lifespan, silicon battery innovation ecosystem, energy & utilities, silicon anode materials, fast charging, silicon battery market growth, supply chain security, silicon battery materials, silicon batteries, decarbonization, local supply chain, silicon battery manufacturing, silane factory, silicon battery lifecycle, silicon battery applications, silicon battery factory, long cycle life, scc55, battery technology, transportation & logistics, automotive batteries, extreme fast charging, lithium-silicon batteries, ev charging solutions, renewable energy transition, global manufacturing, modular manufacturing, supply chains, battery active materials, electric mobility, batteries for aviation, professional development, job creation, environmental sustainability, high energy density batteries, advanced battery materials, lithium-ion alternatives, silane production, carbon scaffold, manufacturing scalability, industrial battery production, clean technology, battery infrastructure, community engagement, stem education, electric flight technologies, battery supply chain resilience, workforce development, automotive battery integration, plug-and-play manufacturing, electric mobility solutions, technological innovation, engineering positions, safety in manufacturing, sustainable manufacturing practices, disruptive battery technology, battery industry partnerships, distribution, consumer products & retail, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment, consumers, hardware, clean energy & technology, internet service providers, information technology & services, material science",'+1 206-547-0445,"Cloudflare DNS, Gmail, Google Apps, Microsoft Office 365, CloudFlare Hosting, Netlify, Zoho Books, Typeform, Webflow, Remote, Circle, Sigma, AI",1371100000,Series D,463000000,8/1/2025,50000000,,690a757b6f52f70001ca2c16,3691,33639,"Group14 Technologies is an American company founded in 2015, based in Woodinville, Washington. The company specializes in manufacturing advanced silicon battery materials, with its flagship product being SCC55®, a silicon-carbon composite anode material. This innovative material enhances the performance of rechargeable lithium-silicon batteries, making it suitable for applications in electric vehicles, consumer electronics, AI devices, and energy storage.

The company has a commercial factory in Woodinville and plans to open a second factory in Moses Lake, Washington. Group14 is focused on scaling silicon battery innovation to address energy storage challenges and meet the growing demand for electrification. It has secured significant funding for manufacturing expansion and has established partnerships with notable companies, including Porsche and Amperex Technology Limited (ATL), to support the development of next-generation battery technologies.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/697213c0d346be00019f7da3/picture,,,,,,,,
"Metagenics, Inc.",Metagenics,1100,"health, wellness & fitness",tbeal@natoli.com,http://www.metagenics.com,http://www.linkedin.com/company/metagenics,https://facebook.com/MetagenicsInc/,https://twitter.com/metagenics,25 Enterprise,Aliso Viejo,California,United States,92656-2601,"25 Enterprise, Aliso Viejo, California, United States, 92656-2601","metagenics, health, wellness, functional medicine, firstline therapy, nutrigenomics, nutraceuticals, nutrition, wellness & fitness services, science-backed nutritional protocols, health education, clinical validation of ingredients, integrated health system, patient support, evidence-based health solutions, product quality, evidence-based protocols, holistic health solutions, sustainability, sustainable practices, quality testing, health innovation, nutritional protocols, rigorous quality standards, global wellness market, personalized wellness programs, direct-to-consumer, global health industry, global health market, healthcare product development, product development, third-party validation, functional health areas, integrated health approach, b2b, sports nutrition, health education tools, root cause health approach, health optimization protocols, healthcare provider, clinical protocols, transparent ingredient sourcing, pharmaceutical-grade testing, holistic health, nutritional supplements, product transparency, health and wellness industry, body as an integrated system, wellness programs, manufacturing excellence, clinical validation, sustainable health products, science-based nutrition, manufacturing standards, clinical-grade supplements, b corporation certification, healthcare, personalized care, healthcare professional education, natural health products, healthcare practitioners, ingredient transparency, ingredient sourcing, healthcare practitioner trusted brand, health optimization, clinical research, healthcare partnerships, product purity, quality assurance, all other miscellaneous manufacturing, raw material testing, product innovation, consumer health awareness, health and wellness, regulatory compliance, safety and efficacy, product efficacy, product formulation, clinical-grade supplement manufacturing, consumer wellness, scientific research, product safety, sustainable health solutions, b2c, e-commerce, supplements, natural health, evidence-based, global presence, health practitioners, integrated health, health, wellness & fitness, environmental services, renewables & environment, health care, hospital & health care, consumer internet, consumers, internet, information technology & services",'+1 800-692-9400,"Cloudflare DNS, Amazon SES, MailJet, Outlook, Microsoft Office 365, CloudFlare Hosting, Mapbox, Freshdesk, SuccessFactors (SAP), Remote",39100000,Merger / Acquisition,0,10/1/2021,375200000,,69726e748e65570001f3cad6,2834,33999,"Metagenics is a global leader in nutritional supplements, founded in 1983 and based in Aliso Viejo, California. The company operates facilities across North America, Europe, and Australia, including a manufacturing site in Gig Harbor, Washington. Metagenics specializes in science-backed nutraceuticals, medical foods, and lifestyle programs that focus on addressing the root causes of health issues through nutritional genomics and functional medicine. It is trusted by over 50,000 healthcare practitioners worldwide.

The company offers more than 850 natural health products across various categories, including digestive health, immune health, and women's health. Metagenics emphasizes the use of premium raw materials and rigorous testing to ensure the effectiveness of its products. Notable offerings include probiotics, multivitamins, omega-3 supplements, and detox programs. Additionally, Metagenics provides lifestyle programs like FirstLine Therapy, which supports personalized nutritional solutions through practitioner recommendations. The company is committed to sustainability and has achieved B Corp certification.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e24c1e188da000138994c/picture,Gryphon Investors (gryphon-inv.com),,,,,,,
"Lithiova, Inc.",Lithiova,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3cae2,,,,,,,,,,,,,
McPhy Energy,McPhy Energy,270,machinery,tbeal@natoli.com,http://www.mcphy.com,http://www.linkedin.com/company/mcphy,,https://twitter.com/mcphyenergy,1615 Avenue de la Grande Piste,Foussemagne,Bourgogne-Franche-Comte,France,90150,"1615 Avenue de la Grande Piste, Foussemagne, Bourgogne-Franche-Comte, France, 90150","energy revolution, onsite hydrogen production, hydrogen distribution, clean energy, clean hydrogen, hydrogen integrated solutions, electrolyzer, hydrogen refueling stations, hydrogen storage, renewable hydrogen, industrial machinery manufacturing, hydrogen for off-grid energy, public transport hydrogen, energy, system integration, renewable energy coupling, solid-state hydrogen storage, hydrogen for islands, hydrogen electrolyzers, services, industrial scale manufacturing, hydrogen production, mobility hydrogen infrastructure, hydrogen safety certification, metal hydrides, energy storage, dynamic reconfigurable stations, transportation & logistics, hydrogen safety standards, power-to-gas, low-carbon hydrogen, hydrogen stations, hydrogen supply chain, renewable energy, renewable energy integration, hydrogen infrastructure, government, magnesium hydrides, solid hydrogen storage, all other general purpose machinery manufacturing, energy transition, hydrogen project development, hydrogen market, industrial hydrogen solutions, hydrogen project financing, hydrogen storage technology, manufacturing, hydrogen valorization, b2b, energy storage solutions, decarbonization solutions, alkaline electrolysis, custom hydrogen architectures, industrial hydrogen, hydrogen for rural areas, hydrogen energy systems, renewable energy storage, zero-emission energy, low-carbon energy, electrolyzers, climate change solutions, hydrogen mobility, energy independence, hydrogen applications, sustainable energy solutions, hydrogen for local communities, hydrogen refueling infrastructure, large capacity electrolyzers, customer-centric services, tailor-made hydrogen architectures, smart grids, energy autonomy, hydrogen value chain, carbon-neutral technology, hydrogen fuel cells, power-to-power, hydrogen and air quality, hydrogen innovations, energy optimization, qhse standards, partnership development, community energy projects, integrated hydrogen solutions, project management in hydrogen, hydrogen market development, renewable energy projects, transportation hydrogen solutions, hydrogen integration in industries, hydrogen energy vectors, economic performance through hydrogen, hydrogen technology advancements, clean energy initiatives, distributed energy production, hydrogen research and development, smart energy solutions, urban hydrogen applications, distribution, transportation_logistics, energy_utilities, environmental services, renewables & environment, oil & energy, clean energy & technology, mechanical or industrial engineering",'+33 4 75 71 15 05,"MailJet, Outlook, Microsoft Office 365, Barracuda Networks, Ruby On Rails, WordPress.org, Cedexis Radar, Vimeo, Google Analytics, Google Tag Manager, Adobe Media Optimizer, reCAPTCHA, Google Font API, Apache, Mobile Friendly, Remote, AI",335214600,Merger / Acquisition,0,7/1/2025,20722000,,69726e748e65570001f3cae8,3621,33399,"McPhy Energy S.A. is a French industrial machinery company founded in 2008, specializing in hydrogen production and valorization equipment. Headquartered in Grenoble, France, McPhy operates as a leading player in hydrogen technologies, with engineering and production facilities in France, Germany, and Italy. The company focuses on supporting European customers in the industry, mobility, and energy sectors with low-carbon hydrogen solutions.

McPhy's product offerings include electrolyzers utilizing pressurized alkaline electrolysis technology, hydrogen refueling stations under the McFilling and SimpleFuel 2 brands, and solid-state hydrogen storage solutions. The company also provides integrated hydrogen production and distribution systems. Its equipment serves various applications, including industrial decarbonization, fuel cell electric vehicle recharging, and renewable energy surplus storage.

With a strong European presence and international offices in Boston, Singapore, and Shenzhen, McPhy is committed to contributing to the energy transition. The company reported annual revenue of €16.1 million in 2022, reflecting significant growth and a robust backlog of €30.6 million.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6845f9b9cc08570001c69372/picture,,,,,,,,
Carbon Engineering Ltd.,Carbon Engineering,190,environmental services,tbeal@natoli.com,http://www.carbonengineering.com,http://www.linkedin.com/company/carbonengineering,https://facebook.com/carbonengineeringltd/,https://twitter.com/CarbonEngineer,Galbraith Ave,Squamish,British Columbia,Canada,V8B,"Galbraith Ave, Squamish, British Columbia, Canada, V8B","carbon capture and storage, co2 utilization, carbon capture partnership, carbon removal solutions, geological storage, carbon capture scalability, fossil fuel industry, co2 capture process, industrial carbon capture, energy transition, renewable energy integration, carbon management strategies, carbon capture deployment, energy efficiency, synthetic fuel production, carbon capture funding, dac technology, carbon capture facilities, climate policy support, co2 sequestration, carbon removal credits, carbon capture startups, direct air capture, carbon capture project, large-scale dac plants, government, carbon capture technology, carbon capture scale, carbon capture, industrial dac, renewable energy, carbon utilization, climate change solutions, co2 supply for eor, carbon capture research, carbon capture systems, carbon removal projects, carbon offset, carbon removal capacity, carbon removal industry, carbon storage, carbon management systems, co2 supply for industrial use, carbon removal solutions industry, research and development in the physical, engineering, and life sciences, carbon capture solutions, carbon capture plant, geological sequestration, sustainability, carbon capture partnerships, co2 removal, climate tech solutions, manufacturing, b2b, carbon-neutral fuels, industrial processes, carbon capture innovation, carbon capture and utilization, carbon removal technology development, direct air capture technology, co2 supply chain, co2 for eor, services, climate change mitigation technology, energy & utilities, carbon storage underground, climate change mitigation, distribution, carbon removal market, co2 utilization technologies, carbon capture investment, synthetic fuels, large-scale dac, co2 capture technology, carbon management, carbon removal pathways, dac, carbon sequestration, environmental services, climate tech, co2 removal industry, carbon capture pilot plant, climate tech investments, climate solutions, climate change, innovation centre, emissions reduction, carbon dioxide recycling, net zero, low-carbon technologies, capture and storage, fossil fuel alternatives, dilute co2 sources, process engineering, scalable solutions, environmental impact, engineering development, pilot projects, air-to-fuels, research and development, gas-liquid contactor, environmental science, circular economy, greenhouse gas emissions, economic development, community engagement, technology advancement, carbon credits, modularity in design, clean energy solutions, climate action, renewable carbon economy, chemical engineering, data-driven insights, collaborative partnerships, advanced technologies, government policy, climate actions, environmental regulations, global initiatives, industrial innovation, carbon neutrality, finance, renewables & environment, clean energy & technology, mechanical or industrial engineering, research & development, financial services",'+1 403-775-6162,"DNS Made Easy, DynECT, Outlook, MailChimp SPF, Google Cloud Hosting, React Redux, React",1196590000,Merger / Acquisition,1100000000,8/1/2023,14000000,,69726e748e65570001f3caee,1389,54171,"Carbon Engineering is a Canadian company specializing in Direct Air Capture (DAC) technology, founded in 2009 by environmental scientist David Keith. The company is a wholly owned subsidiary of Oxy Low Carbon Ventures and has notable investors, including Bill Gates. Its mission is to make large-scale CO₂ capture from the atmosphere cost-effective.

The company provides turnkey solutions for DAC technology deployment, which include technology licensing for businesses, implementation support for building and operating plants, and ongoing support services such as compliance and policy assistance. Carbon Engineering's technology also converts captured CO₂ into clean transportation fuels. The company operates from its Innovation Centre in Squamish, British Columbia, and has achieved significant milestones, including the construction of pilot plants and the establishment of its R&D center. A commercial DAC plant is expected to begin operations in 2024.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696fed099e72f50001148c9f/picture,Oxy (oxy.com),,,,,,,
Integrated Magnetics,Integrated Magnetics,83,mining & metals,tbeal@natoli.com,http://www.intemag.com,http://www.linkedin.com/company/integrated-magnetics,,,11250 Playa Ct,Culver City,California,United States,90230,"11250 Playa Ct, Culver City, California, United States, 90230","mining, itar registered, iso certified, magnetic assemblies, aerospace, magnet solutions for space, b2b, custom magnets, magnet testing, magnet engineering, custom permanent magnets, magnet design engineering, magnet rotors, government, linear and rotary actuators, electrical machines, jewelry and silverware manufacturing, halbach arrays, magnetic dipoles, consulting, magnetic field analysis, military & defense, high-performance magnetic solutions, fea modeling, supply chain management, magnet manufacturing, magnet assembly, energy, industrial automation, magnetic sensors, custom electrical motors, magnet design support, rohs compliant, medical, magnet materials, services, medical devices, magnet materials data, e-commerce, healthcare, military, industrial, custom_magnets, magnetic_assemblies, electrical_machines, iso_certified, rohs_compliant, itar_registered, logistics & supply chain, mechanical or industrial engineering, hospital & health care, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness",'+1 310-391-7213,"Microsoft Office 365, Amazon AWS, Outlook, Webtraxs, Google Font API, Google Analytics, YouTube, Mobile Friendly, Google Tag Manager, Apache, Remote, Render",,,,,36800000,,69726e748e65570001f3caf4,3691,33991,"Integrated Magnetics has over 50 years of experience in advanced magnetics, with a focus on building custom magnetic assemblies for technical applications. IM offers extensive engineering, cutting edge magnetic materials, and global manufacturing solutions.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,
Maxim Integrated,Maxim Integrated,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3caf7,,,,,,,,,,,,,
"Nosler, Inc.",Nosler,91,sporting goods,tbeal@natoli.com,http://www.nosler.com,http://www.linkedin.com/company/nosler-inc.,https://facebook.com/NoslerInc,https://twitter.com/NoslerInc,115 Southwest Columbia Street,Bend,Oregon,United States,97702,"115 Southwest Columbia Street, Bend, Oregon, United States, 97702","factory seconds, brass, military-grade ammunition, manufacturing, b2b, distribution, hunting, government, bullets, rifles, ballistic tip, d2c, big game hunting, ammunition, precision shooting, partition bullets, all other fabricated metal product manufacturing, law enforcement supplies, custom rifles, ballistic technology, long-range ammunition, reloading supplies, b2c, e-commerce, tactical ammunition, retail, brass manufacturing, premium bullets, consumer products & retail, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 800-285-3701,"Fastly CDN, Cloudflare DNS, Outlook, MailChimp SPF, accessiBe, FedEx, Magento, Adobe Marketing Cloud, New Relic, YouTube, reCAPTCHA, Google Analytics, Google Maps, Google Font API, DoubleClick Floodlight, The Trade Desk, Bootstrap Framework, Listrak, Mobile Friendly, Google Tag Manager, AvantMetrics, Remote",,,,,15000000,,69726e748e65570001f3cafa,3699,33299,"Nosler, Inc. is a family-owned American manufacturing company founded in 1948 by John A. Nosler in Ashland, Oregon, and now based in Bend, Oregon. The company specializes in premium bullets, brass, ammunition, and rifles for hunting and shooting sports, operating under the motto ""Quality First."" 

The company is known for its innovative products, including the flagship Partition® bullet, which features a dual-core design for deep penetration and wide wound channels. Nosler also produces a variety of other bullets such as the Ballistic Tip®, AccuBond®, and lead-free options. In addition to bullets, Nosler manufactures premium brass and ammunition, including the NoslerCustom® and Trophy Grade™ lines. The company offers semi-custom and limited-edition hunting rifles under the NoslerCustom® brand. 

Nosler supports handloaders with reloading guides and emphasizes quality control throughout its production processes. With a commitment to serving hunters and shooting enthusiasts worldwide, Nosler continues to be a leader in the sporting goods industry.",1948,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6962c32c3a615a00017073c7/picture,,,,,,,,
Too Faced Cosmetics,Too Faced Cosmetics,750,"health, wellness & fitness",tbeal@natoli.com,http://www.toofaced.com,http://www.linkedin.com/company/too-faced-cosmetics,https://facebook.com/toofaced/,https://twitter.com/toofaced,17361 Armstrong Ave,Irvine,California,United States,92614,"17361 Armstrong Ave, Irvine, California, United States, 92614","personal care product manufacturing, health, wellness & fitness",'+1 855-866-3223,"Akamai, Sendgrid, Listrak, Microsoft Office 365, Taboola Newsroom, Backbone JS Library, Citrix, OneTrust, Remote",1500000000,Merger / Acquisition,1500000000,11/1/2016,300000000,,69726e748e65570001f3cafe,5000,,"Too Faced Cosmetics is an American brand specializing in color cosmetics and skincare, founded in 1998 by Jerrod Blandino and Jeremy Johnson. The brand aims to bring fun and creativity to the beauty industry with its innovative, cruelty-free products and playful packaging. Too Faced quickly gained popularity, launching its first products in Sephora within a year and achieving significant milestones with hits like ""Better Than Sex"" mascara and ""Born This Way"" foundation.

The company offers a diverse range of products, including eyeshadows, lipsticks, mascara, foundation, and skincare items. Their products are designed to inspire creativity and come in eye-catching packaging. Too Faced is committed to cruelty-free practices and uses renewable electricity for its e-commerce operations. The brand has expanded internationally, including a dedicated store in London, and continues to appeal to consumers looking for expressive beauty options.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696cfe1de12fe1000118aa33/picture,,,,,,,,
