Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
"Taylor Technologies, Inc.",Sparks,MD,-5221,https://taylortechnologies.com,https://linkedin.com/company/taylor-technologies-inc,Both,Northeast,Raffaele Romano,water treatment tablets,100,Provides water testing and treatment solutions,,,,,
Procter & Gamble,Cincinnati,OH,-2595,https://us.pg.com,https://linkedin.com/company/procterandgamble,Both,Central,David Nelson,dishwasher tablet manufacturing,100,Produces consumer goods including dishwasher tablets,,,,,
Ecolab Inc.,Saint Paul,MN,-7553,https://www.ecolab.com,https://linkedin.com/company/ecolab,Both,Central,David Nelson,dishwasher tablet manufacturing,100,Produces cleaning products including solid detergents,,,,,
"Church & Dwight Co., Inc.",Ewing,NJ,-2614,https://churchdwight.com,https://linkedin.com/company/church-&-dwight-co-inc-,Both,Northeast,Raffaele Romano,dishwasher tablet manufacturing,100,Known for Arm & Hammer products including cleaning agents,,,,,
Colgate-Palmolive Company,New York,NY,-2521,https://www.colgatepalmolive.com,https://linkedin.com/company/colgate-palmolive,Both,Northeast,Raffaele Romano,dishwasher tablet manufacturing,100,Manufactures cleaning products including tablets,,,,,
Clorox Company,Oakland,CA,-7780,https://www.thecloroxcompany.com,https://linkedin.com/company/the-clorox-company,Both,West Coast,Fernando Delgado,dishwasher tablet manufacturing,100,Produces cleaning agents and detergents,,,,,
Kao USA Inc.,Cincinnati,OH,-9433,https://www.kao.com/us,https://linkedin.com/company/kao,Both,Central,David Nelson,dishwasher tablet manufacturing,100,Manufacturer of consumer products including detergents,,,,,
Monument Chemical,Indianapolis,IN,-4353,https://www.monumentchemical.com,https://linkedin.com/company/monument-chemical,Both,Central,David Nelson,dishwasher tablet manufacturing,100,Specialty chemicals and formulations manufacturer,,,,,
"Liberty Industries, Inc.",East Berlin,CT,-8048,https://www.liberty-ind.com,https://linkedin.com/company/liberty-industries-inc,Both,Northeast,Raffaele Romano,dishwasher tablet manufacturing,100,Produces cleaning solutions and related products,,,,,
Zep Inc.,Atlanta,GA,-11241,https://www.zep.com,https://linkedin.com/company/zep-inc,Both,Southeast,Danny Ambrose,dishwasher tablet manufacturing,100,Manufactures cleaning products and solutions,,,,,
Puracy,Austin,TX,-3782,https://www.puracy.com,https://linkedin.com/company/puracy,Both,Central,David Nelson,dishwasher tablet manufacturing,100,Produces natural cleaning and personal care products,,,,,
Ecover,San Francisco,CA,-6173,https://www.ecover.com,https://linkedin.com/company/ecover,Both,West Coast,Fernando Delgado,dishwasher tablet manufacturing,100,Produces environmentally friendly cleaning products,,,,,
WD-40 Company,San Diego,CA,-2293,https://www.wd40.com,https://linkedin.com/company/wd-40-company,Both,West Coast,Fernando Delgado,toilet bowl cleaner tablets,100,Produces cleaning products that might include tablet forms.,,,,,
Simple Green,Huntington Beach,CA,-7356,https://www.simplegreen.com,https://linkedin.com/company/simple-green,Both,West Coast,Fernando Delgado,toilet bowl cleaner tablets,100,"Manufactures cleaning products in various forms, including tablets.",,,,,
"Jelmar, LLC",Skokie,IL,-6619,https://www.jelmar.com,https://linkedin.com/company/jelmar,Both,Central,David Nelson,toilet bowl cleaner tablets,100,"Produces CLR cleaning products, which may include tablet forms.",,,,,
Arm & Hammer,Ewing,NJ,-2651,https://www.armandhammer.com,https://linkedin.com/company/arm-and-hammer,Both,Northeast,Raffaele Romano,drain cleaner tablets,100,Produces cleaning tablets as part of Church & Dwight,,,,,
The Libman Company,Arcola,IL,-5074,https://www.libman.com,https://linkedin.com/company/the-libman-company,Both,Central,David Nelson,drain cleaner tablets,100,Produces cleaning tools and tablets,,,,,
"GOJO Industries, Inc.",Akron,OH,-6584,https://www.gojo.com,https://linkedin.com/company/gojo-industries,Both,Central,David Nelson,drain cleaner tablets,100,Produces cleaning and sanitation products including tablet forms,,,,,
Green Works,Oakland,CA,,https://www.greenworkscleaners.com,https://linkedin.com/company/green-works,Both,West Coast,Fernando Delgado,drain cleaner tablets,90,"Subsidiary of Clorox, produces eco-friendly cleaning tablets",,,,,
Biokleen,Vancouver,WA,-1464,https://www.biokleenhome.com,https://linkedin.com/company/biokleen,Both,West Coast,Fernando Delgado,drain cleaner tablets,100,Produces natural cleaning tablets,,,,,
Lemi Shine,Austin,TX,-3805,https://www.lemishine.com,https://linkedin.com/company/lemishine,Both,Central,David Nelson,drain cleaner tablets,100,Produces household cleaning products including tablets,,,,,
Sun & Earth,King of Prussia,PA,-9966,https://sunandearth.com,https://linkedin.com/company/sun-and-earth,Both,Northeast,Raffaele Romano,drain cleaner tablets,100,Produces eco-friendly cleaning tablets,,,,,
Lysol (Reckitt Benckiser),Parsippany,NJ,-5749,https://www.lysol.com,https://linkedin.com/company/lysol,Both,Northeast,Raffaele Romano,drain cleaner tablets,100,Produces disinfectant tablets as part of Reckitt Benckiser,,,,,
Finish (Reckitt Benckiser),Parsippany,NJ,-5749,https://www.finishdishwashing.com,https://linkedin.com/company/finish,Both,Northeast,Raffaele Romano,drain cleaner tablets,100,Produces dishwasher tablets and related products,,,,,
BioClean Environmental Services,Vista,CA,-4829,https://biocleanenvironmental.com,,Scientific,West Coast,Fernando Delgado,septic system tablets,85,Manufactures septic system treatments and may need formulation expertise,,,,,
RID-X,Racine,WI,-5749,https://rid-x.com,https://linkedin.com/company/rid-x,Engineering,Central,David Nelson,septic system tablets,90,Produces septic system tablets and requires tablet presses,,,,,
Green Gobbler,Hicksville,NY,-4922,https://greengobbler.com,https://linkedin.com/company/green-gobbler,Engineering,Northeast,Raffaele Romano,septic system tablets,90,Produces septic tablets which require pressing technology,,,,,
"Roebic Laboratories, Inc.",Orange,CT,-2280,https://roebic.com,https://linkedin.com/company/roebic-laboratories-inc,Both,Northeast,Raffaele Romano,septic system tablets,100,Manufactures and formulates septic system tablets,,,,,
Septic-Flow,Fayetteville,GA,-8897,https://septicflow.com,,Scientific,Southeast,Danny Ambrose,septic system tablets,85,"Develops products for septic systems, potentially requiring formulation services",,,,,
Septic-Scrub,Austin,TX,-2887,https://septicscrub.com,https://linkedin.com/company/septic-scrub,Engineering,Central,David Nelson,septic system tablets,90,Manufactures septic system maintenance tablets,,,,,
Bio-Sol,Los Angeles,CA,-966,https://biosolcleaners.com,,Both,West Coast,Fernando Delgado,septic system tablets,95,Produces and formulates septic system tablets,,,,,
Pro-Pump,Fort Lauderdale,FL,-1631,https://pro-pump.com,https://linkedin.com/company/pro-pump,Scientific,Southeast,Danny Ambrose,septic system tablets,90,Researches and formulates septic additives,,,,,
Septic Seep,Little Rock,AR,-1400,https://septicseep.com,,Engineering,Central,David Nelson,septic system tablets,85,Produces tablets for septic systems,,,,,
Enviro-Tab,Albuquerque,NM,-1737,https://enviro-tab.com,https://linkedin.com/company/enviro-tab,Both,Rocky Mountain,Eric Maughan,septic system tablets,100,Manufactures and develops septic system products,,,,,
Septic Maxx,Jacksonville,FL,-1591,https://septicmaxx.com,https://linkedin.com/company/septic-maxx,Both,Southeast,Danny Ambrose,septic system tablets,100,Offers a range of septic system treatment products,,,,,
Enzymes by Bio-Solutions,San Diego,CA,-1601,https://enzymesbybiosolutions.com,,Scientific,West Coast,Fernando Delgado,septic system tablets,85,Develops enzyme-based solutions for septic systems,,,,,
Septic Safe,Denver,CO,-1103,https://septicsafe.com,https://linkedin.com/company/septic-safe,Engineering,Rocky Mountain,Eric Maughan,septic system tablets,90,Manufactures tablets for septic system maintenance,,,,,
Eco-Septic Solutions,Portland,OR,-1768,https://ecoseptic-solutions.com,,Both,West Coast,Fernando Delgado,septic system tablets,95,Innovates eco-friendly septic system products,,,,,
Septic Doctor,Phoenix,AZ,-2087,https://septicdoctor.com,https://linkedin.com/company/septic-doctor,Scientific,Rocky Mountain,Eric Maughan,septic system tablets,90,Offers specialized formulation services for septic health,,,,,
Septic Tech,Houston,TX,-1369,https://septictech.com,,Both,Central,David Nelson,septic system tablets,95,Provides comprehensive septic system solutions,,,,,
Clearstream,Baton Rouge,LA,-1235,https://clearstreamsystems.com,https://linkedin.com/company/clearstream,Engineering,Central,David Nelson,septic system tablets,90,Manufactures advanced septic system components,,,,,
Septic Genie,Las Vegas,NV,-1979,https://septicgenie.com,,Both,Rocky Mountain,Eric Maughan,septic system tablets,95,Develops and manufactures septic solutions,,,,,
Septic Relief,Kansas City,MO,-1682,https://septicrelief.com,https://linkedin.com/company/septic-relief,Scientific,Central,David Nelson,septic system tablets,90,Formulates septic system enhancers,,,,,
EcoSafe Labs,San Francisco,CA,-5104,https://ecosafelabs.com,https://linkedin.com/company/ecosafe-labs,Both,West Coast,Fernando Delgado,concrete cleaner tablets,100,Produces eco-friendly cleaning tablets requiring precise formulation and manufacturing,,,,,
GreenEarth Cleaning,Kansas City,MO,-2636,https://greenearthcleaning.com,https://linkedin.com/company/greenearth-cleaning,Engineering,Central,David Nelson,concrete cleaner tablets,90,"Specializes in sustainable cleaning products, including compressed tablets",,,,,
BioClean Solutions,Houston,TX,-5402,https://biocleansolutions.com,https://linkedin.com/company/bioclean-solutions,Engineering,Central,David Nelson,concrete cleaner tablets,90,"Specializes in biodegradable cleaning products, including tablets",,,,,
"Diversey, Inc.",Fort Mill,SC,-3748,https://diversey.com,https://linkedin.com/company/diversey,Both,Southeast,Danny Ambrose,concrete cleaner tablets,100,"Provides cleaning and hygiene products across various sectors, including tablets",,,,,
Caldrea Company,Minneapolis,MN,-10260,https://caldrea.com,https://linkedin.com/company/caldrea,Scientific,Central,David Nelson,concrete cleaner tablets,90,Produces premium cleaning products with potential for tablet development,,,,,
Blueland,New York,NY,-4901,https://blueland.com,https://linkedin.com/company/blueland,Both,Northeast,Raffaele Romano,concrete cleaner tablets,100,Focuses on eco-friendly cleaning products in tablet form,,,,,
Truce Clean,Phoenix,AZ,-10897,https://truceshop.com,https://linkedin.com/company/truce-clean,Scientific,Rocky Mountain,Eric Maughan,concrete cleaner tablets,90,"Provides non-toxic household cleaning solutions, potentially in tablet form",,,,,
"EcoSMART Technologies, Inc.",Roswell,GA,-5144,https://ecosmart.com,https://linkedin.com/company/ecosmart-technologies-inc,Scientific,Southeast,Danny Ambrose,rust remover tablets,90,Produces eco-friendly pest control tablets,,,,,
"S.C. Johnson & Son, Inc.",Racine,WI,-2521,https://scjohnson.com,https://linkedin.com/company/scjohnson,Engineering,Central,David Nelson,rust remover tablets,90,Manufacturer of household cleaning products in tablet form,,,,,
Scrubbing Bubbles,Racine,WI,-6609,https://scrubbingbubbles.com,,Engineering,Central,David Nelson,rust remover tablets,85,Produces toilet cleaning tablets,,,,,
Cascade,Cincinnati,OH,-7080,https://cascadeclean.com,https://linkedin.com/company/cascadeclean,Engineering,Central,David Nelson,rust remover tablets,90,Produces dishwashing detergent tablets,,,,,
CLR Brands,Gurnee,IL,-6619,https://clrbrands.com,https://linkedin.com/company/clr-brands,Engineering,Central,David Nelson,rust remover tablets,90,Manufactures rust and lime remover tablets,,,,,
CBDfx,Chatsworth,CA,-9349,https://cbdfx.com,https://linkedin.com/company/cbdfx,Engineering,West Coast,Fernando Delgado,cbd tablet manufacturing,90,Produces CBD tablets requiring tablet presses,,,,,Yes
Medterra,Irvine,CA,-3058,https://medterracbd.com,https://linkedin.com/company/medterra,Both,West Coast,Fernando Delgado,cbd tablet manufacturing,100,Offers CBD products including tablets with in-house R&D,,,,,Yes
Veritas Farms,Pueblo,CO,-8664,https://theveritasfarms.com,https://linkedin.com/company/veritas-farms,Both,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,100,Involved in the full spectrum of CBD product manufacturing,,,,,Yes
CBD American Shaman,Kansas City,MO,-8667,https://cbdamericanshaman.com,https://linkedin.com/company/cbd-american-shaman,Engineering,Central,David Nelson,cbd tablet manufacturing,90,Produces a wide range of CBD tablets needing tablet presses,,,,,Yes
Diamond CBD,Fort Lauderdale,FL,-2113,https://diamondcbd.com,,Engineering,Southeast,Danny Ambrose,cbd tablet manufacturing,85,Produces a variety of CBD tablet products requiring manufacturing equipment,,,,,Yes
Joy Organics,Fort Collins,CO,-8624,https://joyorganics.com,https://linkedin.com/company/joy-organics,Both,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,100,"Manufactures CBD softgels and tablets, indicating a need for formulation and tablet presses",,,,,Yes
CBDistillery,Denver,CO,-8843,https://thecbdistillery.com,https://linkedin.com/company/cbdistillery,Engineering,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,90,Produces a range of CBD tablets needing tablet pressing equipment,,,,,Yes
Hemp Bombs,Tampa,FL,-10486,https://hempbombs.com,https://linkedin.com/company/hemp-bombs,Engineering,Southeast,Danny Ambrose,cbd tablet manufacturing,90,Manufactures CBD capsules and tablets requiring tablet presses,,,,,Yes
PureKana,Scottsdale,AZ,-8848,https://purekana.com,,Engineering,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,85,Produces CBD tablets and capsules needing reliable tablet pressing equipment,,,,,Yes
Elixinol,Broomfield,CO,-5151,https://elixinol.com,https://linkedin.com/company/elixinol,Both,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,100,Involved in CBD product manufacturing and formulation,,,,,Yes
Lord Jones,Los Angeles,CA,-8677,https://lordjones.com,https://linkedin.com/company/lord-jones,Both,West Coast,Fernando Delgado,cbd tablet manufacturing,100,Manufactures premium CBD tablets and has formulation capabilities,,,,,Yes
Kanibi,Salt Lake City,UT,-2502,https://kanibi.com,,Both,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,95,Produces CBD tablets with emphasis on scientific formulation,,,,,Yes
FAB CBD,Milwaukee,WI,-9259,https://fabcbd.com,https://linkedin.com/company/fabcbd,Engineering,Central,David Nelson,cbd tablet manufacturing,90,Offers a range of CBD tablets requiring manufacturing equipment,,,,,Yes
Populum,Tempe,AZ,-4498,https://populum.com,https://linkedin.com/company/populum,Engineering,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,90,Produces CBD tablets and capsules requiring pressing equipment,,,,,Yes
Infinite CBD,Lakewood,CO,-2509,https://infinitecbd.com,https://linkedin.com/company/infinite-cbd,Engineering,Rocky Mountain,Eric Maughan,cbd tablet manufacturing,90,Manufactures CBD tablets needing reliable tablet presses,,,,,Yes
Rainbow Light,Santa Cruz,CA,-6071,https://rainbowlight.com,https://linkedin.com/company/rainbow-light,Both,West Coast,Fernando Delgado,immune booster tablets,100,Manufactures multivitamins and supplements for immune health,,,,,
NBTY Inc.,Ronkonkoma,NY,-2830,https://nbty.com,https://linkedin.com/company/nbty,Both,Northeast,Raffaele Romano,energy supplement tablets,100,A leading manufacturer of vitamins and supplements that includes energy tablets.,,,,,Yes
Optimum Nutrition,Aurora,IL,-962,https://optimumnutrition.com,https://linkedin.com/company/optimum-nutrition,Both,Central,David Nelson,energy supplement tablets,100,Leading sports nutrition brand that includes energy supplements in its product line.,,,,,Yes
NutraClick LLC,Boston,MA,-6737,https://nutraclick.com,https://linkedin.com/company/nutraclick,Both,Northeast,Raffaele Romano,energy supplement tablets,100,Develops and markets nutritional supplements including energy tablets.,,,,,Yes
Vibrant Health,Canaan,CT,-2876,https://www.vibranthealth.com,https://linkedin.com/company/vibrant-health,Both,Northeast,Raffaele Romano,detox supplement tablets,100,Offers a range of natural products including detox supplements,,,,,Yes
Natrol LLC,Chatsworth,CA,-9826,https://www.natrol.com,https://linkedin.com/company/natrol-llc,Both,West Coast,Fernando Delgado,detox supplement tablets,100,Well-known for its range of supplements including detox tablets,,,,,Yes
"Enzymedica, Inc.",Venice,FL,-2923,https://enzymedica.com,https://linkedin.com/company/enzymedica-inc,Both,Southeast,Danny Ambrose,digestive enzyme tablets,100,Produces a wide range of enzyme supplements which require formulation and tablet pressing,,,,,
"Doctor's Best, Inc.",Irvine,CA,-8109,https://doctorsbest.com,https://linkedin.com/company/doctorsbest,Both,West Coast,Fernando Delgado,digestive enzyme tablets,100,Offers science-based nutritional supplements including enzyme formulas,,,,,
Twinlab Consolidated Holdings,Boca Raton,FL,-7070,https://twinlab.com,https://linkedin.com/company/twinlab,Both,Southeast,Danny Ambrose,apple cider vinegar tablets,100,Produces and markets various health and wellness products,,,,,
Vitamer Laboratories,Irvine,CA,-6103,https://vitamer.com,https://linkedin.com/company/vitamer-laboratories,Both,West Coast,Fernando Delgado,apple cider vinegar tablets,100,Custom manufacturer of dietary supplements,,,,,
"Integrated BioPharma, Inc.",Hillside,NJ,-8168,https://integratedbiopharma.com,https://linkedin.com/company/integrated-biopharma-inc-,Both,Northeast,Raffaele Romano,apple cider vinegar tablets,100,Provides manufacturing services for dietary supplements,,,,,
Nutrigold Inc.,Orem,UT,-3304,https://nutrigold.com,https://linkedin.com/company/nutrigold,Both,Rocky Mountain,Eric Maughan,turmeric tablet manufacturing,100,Offers organic and non-GMO supplements including turmeric,,,,,
Roxane Laboratories,Columbus,OH,-4889,https://roxane.com,,Both,Central,David Nelson,pharmaceutical tablet manufacturing,95,Produces a wide range of generic pharmaceutical products,,,,,Yes
"NBTY, Inc.",Ronkonkoma,NY,-2830,https://nbty.com,https://linkedin.com/company/nbty,Both,Northeast,Raffaele Romano,nutraceutical tablet manufacturing,100,Manufactures and develops a wide range of nutraceutical tablets.,,,,,Yes
"Nutraceutix, Inc.",Redmond,WA,-10825,https://nutraceutix.com,https://linkedin.com/company/nutraceutix,Both,West Coast,Fernando Delgado,nutraceutical tablet manufacturing,100,Known for its advanced probiotic and enzyme nutritional supplements.,,,,,Yes
PL Developments,Westbury,NY,-3201,https://pldevelopments.com,https://linkedin.com/company/pl-developments,Engineering,Northeast,Raffaele Romano,otc tablet manufacturing,90,Specializes in manufacturing private label OTC pharmaceuticals,,,,,
Reckitt Benckiser Group,Parsippany,NJ,-3976,https://rb.com,https://linkedin.com/company/reckitt,Both,Northeast,Raffaele Romano,otc tablet manufacturing,100,"Produces health, hygiene, and home products, including OTC tablets",,,,,
Vetoquinol USA,Fort Worth,TX,-8845,https://vetoquinolusa.com,https://linkedin.com/company/vetoquinol,Both,Central,David Nelson,veterinary tablet manufacturing,100,Supplies veterinary products including tablets,,,,,Yes
Ceva Animal Health,Lenexa,KS,-2036,https://ceva.us,https://linkedin.com/company/ceva-animal-health,Both,Central,David Nelson,veterinary tablet manufacturing,100,Produces veterinary pharmaceuticals with a focus on solid dosage forms,,,,,Yes
Amprius Technologies,Fremont,CA,-3612,https://amprius.com,https://linkedin.com/company/amprius-technologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Develops advanced lithium-ion battery technology needing precise formulation,,,,,Yes
Sila Nanotechnologies,Alameda,CA,-9949,https://silanano.com,https://linkedin.com/company/sila-nanotechnologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Specializes in battery material innovation with a focus on cathodes,,,,,Yes
Solid Power,Louisville,CO,-1241,https://solidpowerbattery.com,https://linkedin.com/company/solid-power-inc,Scientific,Rocky Mountain,Eric Maughan,battery cathode manufacturing,90,"Innovates in solid-state battery technology, requiring advanced formulation",,,,,Yes
Wildcat Discovery Technologies,San Diego,CA,-3387,https://wildcatdiscovery.com,https://linkedin.com/company/wildcat-discovery-technologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,"Engages in battery material R&D, focusing on cathode chemistry",,,,,Yes
Group14 Technologies,Woodinville,WA,-9205,https://group14.technology,https://linkedin.com/company/group14-technologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,"Focuses on next-generation silicon-carbon anodes, requiring precision in formulation",,,,,Yes
24M Technologies,Cambridge,MA,-7099,https://24-m.com,https://linkedin.com/company/24m-technologies,Scientific,Northeast,Raffaele Romano,battery cathode manufacturing,90,Pioneers semi-solid lithium-ion battery technology with cathode formulation needs,,,,,Yes
Farasis Energy USA,Hayward,CA,-7841,https://farasis.com,https://linkedin.com/company/farasis-energy,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Engaged in the development and manufacturing of lithium-ion batteries,,,,,Yes
Forge Nano,Thornton,CO,-9557,https://forgenano.com,https://linkedin.com/company/forge-nano,Scientific,Rocky Mountain,Eric Maughan,battery cathode manufacturing,90,Specializes in atomic layer deposition for battery materials,,,,,Yes
Microvast,Stafford,TX,-10276,https://microvast.com,https://linkedin.com/company/microvast,Scientific,Central,David Nelson,battery cathode manufacturing,90,Produces advanced lithium-ion battery solutions with cathode needs,,,,,Yes
Kore Power,Coeur d'Alene,ID,-10357,https://korepower.com,https://linkedin.com/company/kore-power,Scientific,Rocky Mountain,Eric Maughan,battery cathode manufacturing,90,Develops and manufactures lithium-ion battery cells and modules,,,,,Yes
Eos Energy Enterprises,Edison,NJ,-9356,https://eosenergystorage.com,https://linkedin.com/company/eosenergystorage,Scientific,Northeast,Raffaele Romano,battery cathode manufacturing,90,Develops zinc hybrid cathode battery solutions for energy storage,,,,,Yes
OneD Material,Palo Alto,CA,-4572,https://onedmaterial.com,https://linkedin.com/company/onedmaterial,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Enhances lithium-ion battery performance using silicon nanowires,,,,,Yes
American Battery Technology Company,Reno,NV,-5991,https://americanbatterytechnology.com,https://linkedin.com/company/american-battery-technology-company,Scientific,Rocky Mountain,Eric Maughan,battery cathode manufacturing,90,Involved in battery material production and recycling,,,,,Yes
FMC Lithium,Philadelphia,PA,-6513,https://www.fmc.com,https://linkedin.com/company/fmc-corporation,Scientific,Northeast,Raffaele Romano,lithium ion battery materials,90,Provides lithium materials for battery production.,,,,,Yes
Piedmont Lithium,Belmont,NC,,https://www.piedmontlithium.com,https://linkedin.com/company/piedmont-lithium,Scientific,Southeast,Danny Ambrose,lithium ion battery materials,80,Focus on lithium hydroxide production for lithium-ion batteries.,,,,,Yes
"Tesla, Inc.",Palo Alto,CA,-6330,https://www.tesla.com,https://linkedin.com/company/tesla-motors,Both,West Coast,Fernando Delgado,lithium ion battery materials,100,Manufactures batteries and has R&D facilities for lithium-ion technology.,,,,,Yes
American Battery Solutions,Lake Orion,MI,-1954,https://www.americanbatterysolutions.com,https://linkedin.com/company/american-battery-solutions,Engineering,Central,David Nelson,lithium ion battery materials,90,Provides lithium-ion battery systems and solutions.,,,,,Yes
Romeo Power,Vernon,CA,-3547,https://www.romeopower.com,https://linkedin.com/company/romeo-power,Both,West Coast,Fernando Delgado,lithium ion battery materials,100,Manufactures lithium-ion battery packs.,,,,,Yes
EnerSys,Reading,PA,-2808,https://www.enersys.com,https://linkedin.com/company/enersys,Both,Northeast,Raffaele Romano,lithium ion battery materials,100,Manufactures and supplies energy storage products.,,,,,Yes
Factorial Energy,Woburn,MA,-3673,https://factorialenergy.com,https://linkedin.com/company/factorial-energy,Scientific,Northeast,Raffaele Romano,solid state battery manufacturing,90,Develops solid-state batteries utilizing proprietary technology,,,,,Yes
Sion Power,Tucson,AZ,-8818,https://sionpower.com,https://linkedin.com/company/sion-power,Scientific,Rocky Mountain,Eric Maughan,solid state battery manufacturing,90,Leader in rechargeable lithium-metal battery technology,,,,,Yes
Blue Current,Hayward,CA,-1963,https://bluecurrent.io,https://linkedin.com/company/blue-current,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,90,Specializes in polymer-based solid-state battery technology,,,,,Yes
BrightVolt,Newark,CA,-4142,https://brightvolt.com,https://linkedin.com/company/brightvolt,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,90,Leader in the design and manufacturing of thin film batteries,,,,,Yes
Silatronix,Madison,WI,-7504,https://silatronix.com,https://linkedin.com/company/silatronix,Scientific,Central,David Nelson,solid state battery manufacturing,90,Develops organosilicon electrolytes for lithium-ion batteries,,,,,Yes
"Giner, Inc.",Newton,MA,-1809,https://ginerinc.com,https://linkedin.com/company/giner-inc,Scientific,Northeast,Raffaele Romano,solid state battery manufacturing,90,Innovates in electrochemical technologies including batteries,,,,,Yes
PolyPlus Battery Company,Berkeley,CA,-8592,https://polyplus.com,https://linkedin.com/company/polyplus-battery-company,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,90,Develops lithium metal and lithium-air batteries,,,,,Yes
Centrus Energy Corp.,Bethesda,MD,-4064,https://centrusenergy.com,https://linkedin.com/company/centrus-energy,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,"Engaged in nuclear fuel supply chain, including pellet production",,,,,Yes
Areva NP Inc.,Charlotte,NC,-3508,https://areva.com,https://linkedin.com/company/areva,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,"Involved in nuclear fuel production, including pellets",,,,,Yes
Orano USA,Charlotte,NC,-3808,https://us.orano.group,https://linkedin.com/company/orano,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,Part of a global leader in nuclear fuel cycle technologies,,,,,Yes
GNF Enrichment Services,Wilmington,NC,,https://gnf.com,https://linkedin.com/company/gnf-enrichment-services,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,80,"Provides enrichment services for nuclear fuel, including pellet manufacturing",,,,,Yes
TerraPower,Bellevue,WA,,https://terrapower.com,https://linkedin.com/company/terrapower,Engineering,West Coast,Fernando Delgado,nuclear fuel pellet manufacturing,80,Advanced nuclear technology company with fuel development activities,,,,,Yes
"Thorium Power, Inc.",McLean,VA,-6524,https://thoriumpower.com,,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,85,Engaged in nuclear fuel technology development with potential pellet applications,,,,,Yes
Curium Pharma,St. Louis,MO,-8442,https://curiumpharma.com,https://linkedin.com/company/curiumpharma,Engineering,Central,David Nelson,nuclear fuel pellet manufacturing,90,"Specializes in nuclear medicine manufacturing, potential for pellet manufacturing",,,,,Yes
Nuclear Waste Partnership LLC,Carlsbad,NM,-8008,https://wipp.energy.gov,,Engineering,Rocky Mountain,Eric Maughan,nuclear fuel pellet manufacturing,85,"Manages disposal of nuclear fuel waste, potential involvement in pellet technology",,,,,Yes
Grace Catalysts Technologies,Columbia,MD,-4940,https://grace.com,https://linkedin.com/company/grace,Both,Northeast,Raffaele Romano,catalyst pellet manufacturing,100,"Grace is involved in catalyst manufacturing, which may require tablet presses.",,,,,Yes
Axens North America,Princeton,NJ,-3658,https://www.axens.net,https://linkedin.com/company/axens,Both,Northeast,Raffaele Romano,catalyst pellet manufacturing,100,Axens produces catalysts and may require tablet presses for pelletizing.,,,,,Yes
Sud-Chemie Inc.,Louisville,KY,-8735,http://www.sud-chemie.com,https://linkedin.com/company/sud-chemie,Both,Southeast,Danny Ambrose,catalyst pellet manufacturing,100,Manufactures catalysts that might utilize tablet presses.,,,,,Yes
"Haldor Topsoe, Inc.",Houston,TX,-5708,https://www.topsoe.com,https://linkedin.com/company/haldor-topsoe,Both,Central,David Nelson,catalyst pellet manufacturing,100,"Topsoe manufactures catalysts, potentially needing tablet presses.",,,,,Yes
Hyzon Motors Inc.,Honeoye Falls,NY,-8070,https://hyzonmotors.com,https://linkedin.com/company/hyzonmotors,Engineering,Northeast,Raffaele Romano,hydrogen storage materials,90,"Manufactures hydrogen-powered vehicles, requiring advanced hydrogen storage solutions.",,,,,
Linde PLC,Danbury,CT,-3039,https://linde.com,https://linkedin.com/company/linde,Both,Northeast,Raffaele Romano,hydrogen storage materials,100,Global supplier of industrial gases with a strong focus on hydrogen technology.,,,,,
US Hybrid,Torrance,CA,-1721,https://ushybrid.com,https://linkedin.com/company/us-hybrid-corporation,Engineering,West Coast,Fernando Delgado,hydrogen storage materials,90,Provides integrated hydrogen fuel cell power systems that require hydrogen storage solutions.,,,,,
GenCell Energy,Santa Clara,CA,-10781,https://gencellenergy.com,https://linkedin.com/company/gencell-ltd,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,90,Focuses on alkaline fuel cell technology that may need innovative storage solutions.,,,,,
