Company,Product Type,Retail Presence,Manufacturing Model,Division,Natoli Fit,Fit Reason,Confidence,Next Steps
Hyzon Motors Inc.,Hydrogen fuel cells,None,In-house,Engineering,Weak,"Focus on hydrogen technology, not tablet compression.",High,Low priority
Linde PLC,Gases for compression and processing,None,In-house,Engineering,Medium,Linde provides essential gases for tablet production processes.,High,Research and outreach
US Hybrid,"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,US Hybrid's focus on compression aligns with Natoli's offerings.,High,Research and outreach
GenCell Energy,Hydrogen fuel cells,None,In-house,Engineering,Weak,Focus on energy solutions rather than tablet compression.,High,Low priority
HyperSolar Inc.,Hydrogen pellets,None,Unknown,Scientific,Weak,"Focus on hydrogen production, not tablet compression.",High,Low priority
ITM Power Inc.,Hydrogen fuel cells and related technologies,None,In-house,Engineering,Weak,"Focus on hydrogen solutions, not tablet compression.",High,Low priority
"SunHydrogen, Inc.",Hydrogen pellets,None,Unknown,Scientific,Medium,Potential for collaboration in hydrogen-related tablet formulations.,High,Research and outreach
Occidental Petroleum,Hydrocarbons,None,Unknown,NoFit,Weak,"Occidental focuses on oil and gas, not tablet compression.",High,Low priority
NET Power,"Tablets, pellets, compacts",None,Hybrid,Engineering,Strong,NET Power's technology aligns with various industries that require powder compression.,High,Research and outreach
Mitsubishi Heavy Industries America,Various industrial applications including pharmaceuticals and food,None,Hybrid,Engineering,Medium,Mitsubishi's engineering capabilities align with tablet press technology but focus is broader.,High,Research and outreach
Honeywell UOP,Catalysts and process technologies,None,In-house,Engineering,Medium,Potential for collaboration in powder processing technologies.,High,Research and outreach
CeramTec,Ceramics and advanced materials,None,In-house,Engineering|Scientific,Medium,CeramTec's advanced materials can be used in tablet production.,High,Research and outreach
Corning Inc.,"Tablets, pellets, ceramics",None,In-house,Both,Medium,Corning's expertise in materials aligns with tablet compression technologies.,High,Research and outreach
3M Ceramics,Ceramics and related materials,None,In-house,Engineering,Medium,Potential for collaboration in tablet press applications.,High,Research and outreach
Advanced Ceramic Manufacturer,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,Serves diverse industries needing powder compression,High,Research and outreach
Rauschert Technical Ceramics,Ceramic components for various applications,None,In-house,Engineering,Medium,Potential for collaboration in tablet compression technology.,High,Research and outreach
NGK Ceramics USA,Ceramics and related materials,None,In-house,Engineering,Medium,Potential collaboration in tablet compression technology.,High,Research and outreach
Unifrax,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,Unifrax's products align with Natoli's tablet compression services.,High,Research and outreach
Schunk Carbon Technology,Carbon-based materials,None,In-house,Scientific,Medium,Potential overlap in powder compression technologies.,High,Research and outreach
Carborundum Universal Ltd.,"Powders for tablets, pellets, and compacts",None,In-house,Engineering|Scientific,Medium,Potential for collaboration in powder compression technologies,High,Research and outreach
Ortech Advanced Ceramics,Ceramic components,None,In-house,Engineering,Medium,Potential use of ceramics in tablet production.,High,Research and outreach
"CerCo, LLC",Ceramics and powders,None,In-house,Scientific,Medium,CerCo specializes in powder processing which aligns with Natoli's offerings.,High,Research and outreach
"ASML US, Inc.","Tablets, pellets, compacts",None,In-house,Engineering,Strong,ASML's technology supports precision in tablet compression.,High,Research and outreach
GlobalFoundries U.S. Inc.,Silicon wafers,None,In-house,Engineering,Weak,"Focus on semiconductor manufacturing, not tablet compression.",High,Low priority
"NXP Semiconductors USA, Inc.",Not applicable,None,Unknown,NoFit,NoFit,"NXP focuses on semiconductors, not tablet compression.",High,Low priority
Microchip Technology Incorporated,Semiconductors,None,Unknown,Engineering,Weak,"Focus on semiconductors, not tablet compression.",High,Low priority
"AMD (Advanced Micro Devices, Inc.)",Semiconductors,None,In-house,Engineering,Weak,"AMD focuses on semiconductor manufacturing, not tablet compression.",High,Low priority
"Broadcom, Inc.","Tablets, pellets, compacts",None,In-house,Engineering,Medium,Broadcom's technology can support tablet compression processes.,High,Research and outreach
L'Oréal USA,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,"L'Oréal compresses powders for cosmetics, aligning with Natoli's offerings.",High,Research and outreach
"Elizabeth Arden, Inc.",Cosmetic tablets and powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Uses tablet compression for cosmetic products.,High,Research and outreach
"Glossier, Inc.",Cosmetic products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focuses on cosmetics, not tablet compression.",High,Low priority
Morphe Brushes,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,"Morphe Brushes compresses powders for cosmetic products, aligning with Natoli's offerings.",High,Research and outreach
Agrium Inc.,Fertilizers,None,In-house,NoFit,Weak,"Agrium focuses on agricultural products, not tablet compression.",High,Low priority
CF Industries,Fertilizers,None,In-house,NoFit,Weak,"Focus on fertilizers, not tablet compression.",High,Low priority
Yara North America,Fertilizers and agricultural products,None,In-house,Scientific,Medium,Potential for tabletization of fertilizers.,High,Research and outreach
J.R. Simplot Company,"Potato products, processed foods",None,In-house,Both,Medium,Potential for tablet applications in food and ag products.,High,Research and outreach
Wilbur-Ellis Company,"Animal feed, fertilizers, and crop protection products",None,Hybrid,Both,Medium,Potential for collaboration in agricultural applications and formulations.,High,Research and outreach
"Brandt Consolidated, Inc.","Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,Complementary products and services for tablet compression.,High,Research and outreach
Koch Agronomic Services,Fertilizers and soil amendments,None,In-house,Scientific,Medium,Potential for tablet compression in fertilizer products.,High,Research and outreach
"GROWMARK, Inc.","Agricultural products, fertilizers",None,Unknown,NoFit,Weak,"Focus on agriculture, not tablet compression.",High,Low priority
CHS Inc.,"Powders into tablets, pellets, or compacts",None,CDMO,Engineering|Scientific,Strong,"CHS Inc. targets a wide range of industries that require powder compression, aligning well with Natoli's offerings.",High,Research and outreach
SQM North America,"Tablets, pellets, compacts",None,CDMO,Engineering|Scientific,Strong,Natoli's products align with SQM's tablet compression needs.,High,Research and outreach
Nutrien Ag Solutions,"Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,Nutrien's focus on agricultural solutions aligns with tablet compression needs.,High,Research and outreach
PTI Engineered Plastics,Plastics and engineered materials,None,CDMO,Engineering,Strong,PTI's expertise in engineered plastics aligns with Natoli's focus on tablet pressing and tooling.,High,Research and outreach
Harro Höfliger,"Tablets, pellets, and compacts",None,CDMO,Both,Strong,"Harro Höfliger specializes in equipment for powder processing, aligning well with Natoli's offerings.",High,Research and outreach
Pharmatek Laboratories,Pharmaceutical formulations,None,CDMO,Scientific,Strong,"Pharmatek specializes in formulation and development, aligning well with Natoli's tablet compression services.",High,Research and outreach
Avid Bioservices,Biologics|Pharmaceuticals,None,CDMO,Scientific,Medium,"Avid focuses on biologics, which may require tablet compression for certain formulations.",High,Research and outreach
Cambrex High Point,Pharmaceuticals and Nutraceuticals,None,CDMO,Scientific,Strong,"Cambrex specializes in drug development and manufacturing, aligning well with Natoli's tablet compression services.",High,Research and outreach
Ajanta Pharma USA,Tablets,None,In-house,Both,Strong,"Ajanta Pharma manufactures tablets, aligning with Natoli's offerings.",High,Research and outreach
BioDuro-Sundia,Pharmaceuticals and nutraceuticals,None,CDMO,Scientific,Strong,They require tablet presses and tooling for their formulation services.,High,Research and outreach
Pinnacle Biologics,Biologics,None,CDMO,Scientific,Strong,Pinnacle Biologics develops biologics which may require tablet compression for delivery.,High,Research and outreach
Zhou Nutrition,Nutritional supplements,"Amazon,Walmart",In-house,Both,Strong,"Zhou Nutrition compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Infinite Labs,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Aligns with tablet compression and R&D services.,High,Research and outreach
BioCare,Tablets|Pellets|Compacts,None,In-house,Both,Strong,BioCare's focus on compressing powders aligns well with Natoli's offerings.,High,Research and outreach
Glanbia Nutritionals,Nutritional powders and supplements,None,In-house,Both,Strong,"Glanbia compresses nutritional powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Gummi World,Gummies and other compressed products,"Amazon, Walmart, CVS, Target",CDMO,Both,Strong,"Gummi World compresses powders into gummies, aligning with Natoli's tablet press and tooling offerings.",High,Research and outreach
"Solgar, Inc.",Nutritional supplements,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,"Solgar produces tablets, aligning with Natoli's offerings.",High,Research and outreach
Carlson Labs,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Carlson Labs targets companies in need of tablet compression solutions.,High,Research and outreach
Puritan's Pride,"Vitamins, supplements, herbal products","Amazon,Walmart,CVS,Target",In-house,Both,Medium,Potential for tablet compression in supplement production.,High,Research and outreach
"Bio-Lab, Inc.","Pharmaceuticals, Nutraceuticals, Veterinary Products",None,In-house,Scientific,Strong,"Bio-Lab compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
"HASA, Inc.",Powders,None,In-house,Both,Strong,HASA's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Robelle Industries,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Robelle's focus on compression aligns with Natoli's offerings.,High,Research and outreach
"Solvay Chemicals, Inc.",Chemicals for tablet formulation,None,In-house,Scientific,Medium,"Solvay provides chemical solutions that can be used in tablet formulation, aligning with Natoli's target market.",High,Research and outreach
Aqua Chem,"Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,Aqua Chem's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Leslie's Pool Supplies,Pool chemicals,"Amazon,Walmart,Target",Unknown,NoFit,Weak,"Focus on pool supplies, not tablet compression.",Medium,Low priority
Haviland Pool & Spa,Pool chemicals and related products,"Amazon,Walmart,Target",In-house,NoFit,Weak,"Focus on pool and spa products, not tablet compression.",Medium,Low priority
AllChem Industries,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,AllChem's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
"Hawkins, Inc.","Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,"Hawkins provides essential services for tablet compression, aligning with Natoli's offerings.",High,Research and outreach
"ChemTreat, Inc.",Chemicals and additives,None,In-house,Scientific,Medium,ChemTreat provides chemical solutions that may complement tablet formulation processes.,High,Research and outreach
The Pool & Spa Warehouse,Pool and spa chemicals,None,Unknown,NoFit,Weak,"Focus on pool and spa products, not tablet compression.",High,Low priority
"Kemira Chemicals, Inc.",Chemicals for various applications,None,In-house,Scientific,Medium,Kemira produces chemicals that may require tablet compression in various sectors.,High,Research and outreach
Nalco Water,"Tablets, pellets, compacts",None,In-house,Engineering|Scientific,Strong,Provides essential equipment and services for powder compression.,High,Research and outreach
"Pentair, Inc.","Tablets, pellets, compacts",None,Hybrid,Engineering,Medium,Pentair's expertise in fluid management aligns with tablet production processes.,High,Research and outreach
"American Water Works Company, Inc.",Water treatment chemicals,None,Unknown,NoFit,Weak,"Focus on water utilities, not tablet compression.",High,Low priority
"US Water Services, Inc.","Powders into tablets, pellets, or compacts",None,CDMO,Engineering,Strong,Complementary services for tablet manufacturing,High,Research and outreach
BWT Pharma & Biotech Inc.,"Pharmaceuticals, Nutraceuticals",None,CDMO,Scientific,Strong,"BWT specializes in pharmaceutical development, aligning with Natoli's tablet compression solutions.",High,Research and outreach
"Kroff Chemical Company, Inc.",Chemicals and formulations,None,CDMO,Scientific,Medium,Kroff provides chemical solutions that may complement Natoli's tablet compression services.,High,Research and outreach
Garratt-Callahan Company,Water treatment chemicals,None,In-house,Scientific,Weak,Focus on water treatment rather than tablet compression.,High,Low priority
"Chem-Aqua, Inc.",Chemicals and formulations,None,In-house,Scientific,Medium,Chem-Aqua's focus on chemical formulations aligns with Natoli's tablet compression services.,High,Research and outreach
Siemens Water Technologies Corp.,Water treatment solutions,None,Unknown,Engineering,Weak,Focus on water technologies rather than tablet compression.,High,Low priority
"Pace Analytical Services, LLC",Powders for tablets and pellets,None,CDMO,Scientific,Strong,They provide analytical services for various industries that require tablet formulation.,High,Research and outreach
Henkel North America,"Adhesives, sealants, coatings",None,In-house,Both,Medium,Henkel's focus on adhesive technologies aligns with tablet compression needs.,High,Research and outreach
Norwex USA,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Specializes in tablet pressing and tooling for various industries.,High,Research and outreach
"The Honest Company, Inc.","Tablets, capsules, personal care products","Amazon,Walmart,CVS,Target",Hybrid,Both,Medium,"They produce compressed products, aligning with Natoli's offerings.",High,Research and outreach
"Eco Me, Inc.","Tablets, pellets, compacts",None,In-house,Both,Strong,Natoli's products align with Eco Me's tablet compression needs.,High,Research and outreach
Planet Inc.,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Aligns with Natoli's focus on tablet manufacturing and tooling.,High,Research and outreach
Kärcher North America,"Powders into tablets, pellets, or compacts",None,Unknown,Engineering,Medium,Potential collaboration in powder processing,High,Research and outreach
Spartan Chemical Company,Chemical formulations,None,In-house,Scientific,Medium,Potential for tablet compression in chemical applications.,High,Research and outreach
"Hillyard, Inc.","Tablets, pellets, compacts",None,Unknown,Both,Strong,Hillyard's focus on cleaning and sanitation aligns with industries that require tablet compression.,High,Research and outreach
Reckitt Benckiser Group plc,"Tablets, pellets, and other compressed products","Amazon,Walmart,CVS,Target",In-house,Both,Strong,Reckitt compresses powders for various consumer and pharmaceutical products.,High,Research and outreach
Oatey Co.,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,"Oatey Co. targets multiple industries that require powder compression, aligning with Natoli's offerings.",High,Research and outreach
Hain Celestial Group,Organic and natural food products,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,"Hain Celestial produces compressed food products, aligning with Natoli's offerings.",High,Research and outreach
Clorox Pool & Spa,Pool chemicals and maintenance products,"Amazon,Walmart,Target",In-house,NoFit,Medium,Potential for tabletized pool products but not a primary focus.,High,Research and outreach
Bio-Dex Laboratories,Pharmaceuticals and Nutraceuticals,None,CDMO,Scientific,Strong,They require tablet presses and tooling for their products.,High,Research and outreach
Applied Biochemists,Biochemicals and formulations,None,CDMO,Scientific,Strong,Focus on formulation aligns with R&D services offered by Natoli.,High,Research and outreach
NutriSport Pharmacal,Nutraceuticals and dietary supplements,None,CDMO,Scientific,Strong,NutriSport's focus on tablet formulations aligns with Natoli's offerings.,High,Research and outreach
"Vitalabs, Inc.","Tablets, pellets, compacts",None,CDMO,Both,Strong,Vitalabs' focus on tablet formulation aligns with Natoli's offerings.,High,Research and outreach
Biomerics,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Biomerics compresses materials relevant to Natoli's offerings.,High,Research and outreach
ABH Pharma Inc.,"tablets, pellets, compacts",None,CDMO,Engineering|Scientific,Strong,ABH Pharma's focus on tablet compression aligns well with Natoli's offerings.,High,Research and outreach
Makers Nutrition,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Makers Nutrition's focus on tablet production aligns well with Natoli's offerings.,High,Research and outreach
Nutracap Labs,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,"Nutracap Labs targets companies that require tablet compression, aligning with Natoli's offerings.",High,Research and outreach
Gencor,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,Gencor's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
PLT Health Solutions,Nutraceuticals and dietary supplements,None,CDMO,Scientific,Medium,Potential collaboration in formulation and tablet production.,High,Research and outreach
INW Manufacturing,"Tablets, pellets, compacts",None,In-house,Both,Strong,INW's focus aligns with Natoli's tablet compression technology.,High,Research and outreach
Vesta Nutra,"Nutraceuticals, dietary supplements",None,CDMO,Both,Strong,"Vesta Nutra compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
NutraPak USA,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,NutraPak's focus on compression aligns with Natoli's offerings.,High,Research and outreach
Reliance Private Label Supplements,Competitor,,Competitor,No Fit,No Fit,,High,SKIP - Natoli competitor
Vega (WhiteWave Foods),Plant-based food products,"Amazon,Walmart,Target",In-house,NoFit,Medium,Focus on food products rather than tablet compression.,High,Research and outreach
SmartyPants Vitamins,Vitamins and supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,They require tablet presses for vitamin production.,High,Research and outreach
Vital Proteins,Collagen supplements,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Focus on health and wellness products aligns with tablet compression.,High,Research and outreach
Nature's Plus,"Tablets, pellets, compacts",None,CDMO,Engineering,Strong,Complementary services in tablet manufacturing,High,Research and outreach
Solaray,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,Solaray's offerings align with Natoli's tablet pressing and tooling services.,High,Research and outreach
Bluebonnet Nutrition,Nutritional supplements,"Amazon,Walmart",In-house,Scientific,Strong,They produce tablets and supplements requiring compression technology.,High,Research and outreach
Dr. Mercola,"Nutritional supplements, herbal products","Amazon, Walmart, CVS",Hybrid,Scientific,Strong,"Dr. Mercola produces tablets and supplements, aligning with Natoli's offerings.",High,Research and outreach
Nutricap Labs,"Nutraceuticals, dietary supplements",None,CDMO,Scientific,Strong,"Nutricap Labs compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
