Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,Email_Subject,LinkedIn_Opening,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
"Rex-Bac-T Technologies, LLC",Conroe,TX,-8342,https://rex-bac-t.com,https://linkedin.com/company/rex-bac-t-technologies,Engineering,Central,David Nelson,septic system tablets,90,Manufactures septic system tablets,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in septic system tablets. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"BioOne, Inc.",Phoenix,AZ,-4260,https://bioone.com,https://linkedin.com/company/bioone-inc,Both,Rocky Mountain,Eric Maughan,septic system tablets,100,Provides biological solutions for septic systems,,,,,,Enhancing Your Tablet Production Process,Hi! I see BioOne focuses on septic system tablets. I'd love to connect and discuss tablet manufacturing solutions.,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Scale-up,D
"Septic Solutions, Inc.",Dieterich,IL,-6933,https://septicsolutions.com,,Engineering,Central,David Nelson,septic system tablets,85,Manufactures septic system treatment tablets,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work at Septic Solutions. I'd love to connect and discuss tablet manufacturing solutions that could enhance your production.",Discussing tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Green Pig, Inc.",Monroe,GA,-2950,https://greenpiginc.com,,Scientific,Southeast,Danny Ambrose,septic system tablets,85,Produces septic tank treatment products,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Green Pig's innovative approach to septic system tablets. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Septic Tank Supplies,Ocala,FL,-8223,https://septictanksupplies.com,,Engineering,Southeast,Danny Ambrose,septic system tablets,85,Provides septic system treatment tablets,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in tablet manufacturing. I'd love to connect and discuss innovative solutions for your production challenges.",Discussing custom tooling solutions for unique tablet formulations.,Fette,"Weight variation, capping, sticking",Commercial,Custom
"Biomaster, Inc.",Charlottesville,VA,-4358,https://biomaster.com,,Scientific,Northeast,Raffaele Romano,septic system tablets,85,Specializes in biological septic treatments,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Biomaster's innovative approach to septic system tablets. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Scale-up,D
Septic Drainer,Sandwich,MA,-7403,https://septicdrainer.com,,Both,Northeast,Raffaele Romano,septic system tablets,95,Produces septic system maintenance products,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in septic system tablets. I'd love to connect and discuss tablet production solutions.",Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
SeptiClean,Cumming,GA,-5527,https://septiclean.com,,Engineering,Southeast,Danny Ambrose,septic system tablets,85,Manufactures septic system cleaning products,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed SeptiClean's focus on septic system tablets. I'd love to connect and discuss tablet production solutions.",Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Armaly Brands,Walled Lake,MI,-9871,https://www.armalybrands.com,https://linkedin.com/company/armaly-brands,Engineering,Central,David Nelson,rust remover tablets,90,Produces cleaning products including tablets,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Armaly Brands specializes in rust remover tablets. I'd love to connect and discuss tablet production solutions.",Discussing tooling options for optimizing tablet consistency and reducing defects.,Fette,"weight variation, capping, sticking",Commercial,D
Summit Brands,Fort Wayne,IN,-8051,https://www.summitbrands.com,https://linkedin.com/company/summit-brands,Engineering,Central,David Nelson,rust remover tablets,90,Manufactures specialty cleaning products,,,,,,Optimizing Your Rust Remover Tablet Production,"Hi, I noticed your work with rust remover tablets. I'd love to connect and discuss tablet production solutions.",Discussing tooling options for rust remover tablet formulations.,Fette,"capping, weight variation, sticking",Commercial,D
Brighton Professional,Framingham,MA,-5743,https://www.staples.com,https://linkedin.com/company/staples,Engineering,Northeast,Raffaele Romano,rust remover tablets,90,Produces cleaning and janitorial supplies,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed Brighton Professional's focus on rust remover tablets. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for rust remover tablet formulations.,"Fette, Korsch","capping, weight variation, sticking",Commercial,D
"Parker Laboratories, Inc.",Fairfield,NJ,-10748,https://www.parkerlabs.com,https://linkedin.com/company/parker-laboratories,Scientific,Northeast,Raffaele Romano,rust remover tablets,90,Produces medical gels and cleaning solutions,,,,,,Optimizing Your Tablet Production Process,"Hi, I noticed your work at Parker Laboratories. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for rust remover tablet formulations.,Fette,"capping, weight variation, sticking",Commercial,D
