Company,Website,Phone,City,State,Confidence,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
Veritas Farms,https://veritasfarms.com,844-VERITAS,Fort Lauderdale,FL,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
CBD American Shaman,https://cbdamericanshaman.com,888-817-5558,Kansas City,MO,High,Discussing tooling options for CBD formulations.,Fette,"weight variation, capping, sticking",Commercial,D
Diamond CBD,https://diamondcbd.com,1-844-774-2020,Fort Lauderdale,FL,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Joy Organics,https://joyorganics.com,833-569-4627,Fort Collins,CO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
CBDistillery,https://www.thecbdistillery.com,855-422-3327,Denver,CO,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Hemp Bombs,https://hempbombs.com,800-989-8148,Tampa,FL,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
PureKana,https://purekana.com,800-976-4604,Scottsdale,AZ,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Elixinol,https://elixinol.com,877-869-0474,Louisville,CO,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Lord Jones,https://www.lordjones.com,888-420-1001,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Kanibi,https://www.kanibi.com,800-900-2020,Lehi,UT,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
FAB CBD,https://www.fabcbd.com,833-232-2362,Las Vegas,NV,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Populum,https://www.populum.com,800-615-1243,Tempe,AZ,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Infinite CBD,https://www.infinitecbd.com,844-420-2326,Denver,CO,Medium,Discussing tooling options for optimizing CBD tablet production.,Fette,"weight variation, capping, sticking",Scale-up,D
Rainbow Light,https://www.rainbowlight.com,800-662-2544,Santa Cruz,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NBTY Inc.,https://www.nutritionnow.com,800-423-4248,Ronkonkoma,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Optimum Nutrition,https://www.optimumnutrition.com,800-705-5286,Aurora,IL,High,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NutraClick LLC,https://www.nutraclick.com,617-864-1000,Cambridge,MA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Vibrant Health,https://www.vibranthealth.com,800-242-1835,New York,NY,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Natrol LLC,https://www.natrol.com,800-262-8765,Chatsworth,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Enzymedica, Inc.",https://www.enzymedica.com,800-880-1800,Sarasota,FL,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Doctor's Best, Inc.",https://www.doctorsbest.com,800-782-0440,Cypress,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
Twinlab Consolidated Holdings,https://www.twinlab.com,800-645-5626,New York,NY,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Vitamer Laboratories,https://www.vitamers.com,800-877-8111,Burlington,NJ,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Integrated BioPharma, Inc.",http://www.integratedbiopharma.com,908-534-2000,East Windsor,NJ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Nutrigold Inc.,http://www.nutrigold.com,888-884-3222,Golden,CO,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Roxane Laboratories,http://www.roxanelabs.com,614-276-5000,Columbus,OH,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"NBTY, Inc.",http://www.nbty.com,800-423-4248,Ronkonkoma,NY,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","capping, sticking, weight variation",Commercial,B
"Nutraceutix, Inc.",http://www.nutraceutix.com,360-398-2500,Ferndale,WA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
PL Developments,http://www.pldevelopments.com,xxx-xxx-xxxx,San Diego,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Reckitt Benckiser Group,http://www.reckitt.com,xxx-xxx-xxxx,Parsippany,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,B
Vetoquinol USA,http://www.vetoquinolusa.com,xxx-xxx-xxxx,Fort Worth,TX,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Ceva Animal Health,http://www.ceva.com,xxx-xxx-xxxx,Liberty,MO,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Amprius Technologies,http://www.amprius.com,xxx-xxx-xxxx,Fremont,CA,Medium,Discussing tooling optimization for scale-up processes.,Fette,"weight variation, sticking, capping",Scale-up,D
Sila Nanotechnologies,https://www.silanano.com,510-300-1700,Alameda,CA,High,Discussing tooling options for scale-up efficiency,"Fette, Korsch","weight variation, sticking, capping",Scale-up,D
Solid Power,https://www.solidpowerbattery.com,303-974-0695,Louisville,CO,High,Discussing tooling options for optimizing production efficiency.,Fette,"weight variation, capping, sticking",Commercial,D
Wildcat Discovery Technologies,https://www.wildcatdiscovery.com,619-300-6400,San Diego,CA,Medium,Discussing tooling options for R&D scale-up.,"Fette, Korsch","weight variation, capping, sticking",R&D,D
Group14 Technologies,https://www.group14.technology,425-406-8880,Woodinville,WA,Medium,Discussing tooling options for scale-up efficiency,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
24M Technologies,https://www.24m.com,617-600-2000,Cambridge,MA,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Farasis Energy USA,https://www.farasis.com,510-400-2000,Fremont,CA,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
Forge Nano,https://forgenano.com,303-800-2000,Golden,CO,Medium,Discussing tooling optimization for scale-up processes.,Fette,"weight variation, capping, sticking",Scale-up,D
Microvast,https://www.microvast.com,903-335-5555,Longview,TX,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Kore Power,https://korepower.com,208-274-2000,Phoenix,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Eos Energy Enterprises,https://www.eosenergystorage.com,201-630-0000,Hackensack,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
OneD Material,https://www.onedmaterial.com,650-485-2000,Menlo Park,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
American Battery Technology Company,https://www.americanbatterytechnology.com,775-525-1940,Reno,NV,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
FMC Lithium,https://www.fmc.com,215-299-6000,Philadelphia,PA,High,Discussing tooling options for lithium-based formulations.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Piedmont Lithium,https://www.piedmontlithium.com,704-960-5350,Belmont,NC,Medium,Discussing tooling options for scale-up efficiency,Fette,"weight variation, capping, sticking",Scale-up,D
"Tesla, Inc.",https://www.tesla.com,650-681-5000,Palo Alto,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
American Battery Solutions,https://www.americanbatterysolutions.com,248-266-1000,Lake Orion,MI,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Romeo Power,https://www.romeopower.com,323-300-4000,Los Angeles,CA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
EnerSys,https://www.enersys.com,610-208-1991,Reading,PA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Factorial Energy,https://www.factorialenergy.com,617-864-7000,Wilmington,MA,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Sion Power,https://www.sionpower.com,520-546-2000,Tucson,AZ,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
Blue Current,https://www.bluecurrent.com,408-550-8100,San Jose,CA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
BrightVolt,https://www.brightvolt.com,206-659-2222,Seattle,WA,Medium,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Silatronix,https://www.silatronix.com,608-310-2000,Madison,WI,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"Giner, Inc.",https://www.ginerinc.com,781-272-2000,Wilmington,MA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
PolyPlus Battery Company,https://www.polyplus.com,510-649-1200,Berkeley,CA,Medium,Discussing tooling options for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Centrus Energy Corp.,https://www.centrusenergy.com,202-333-2200,Bethesda,MD,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Areva NP Inc.,https://www.orano.group/en/,703-295-2000,Washington,DC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Orano USA,https://www.orano.group/en/,301-951-2000,Washington,DC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
GNF Enrichment Services,https://www.gnf.com,803-695-5000,Columbia,SC,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
TerraPower,https://www.terrapower.com,206-602-2000,Bellevue,WA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Thorium Power, Inc.",http://www.thoriumpower.com,703-234-6000,McLean,VA,Medium,Discussing tooling compatibility for scale-up processes.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Curium Pharma,http://www.curiumpharma.com,314-282-8000,St. Louis,MO,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Nuclear Waste Partnership LLC,http://www.nwp-wipp.com,575-628-2000,Carlsbad,NM,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Grace Catalysts Technologies,http://www.grace.com,410-531-4000,Columbia,MD,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Axens North America,http://www.axens.net,281-598-8000,Houston,TX,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Sud-Chemie Inc.,https://www.sud-chemie.com,xxx-xxx-xxxx,Louisville,KY,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Haldor Topsoe, Inc.",https://www.topsoe.com,xxx-xxx-xxxx,Houston,TX,Medium,Discussing tooling options for scale-up efficiency,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
Hyzon Motors Inc.,https://hyzonmotors.com,xxx-xxx-xxxx,Rochester,NY,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Scale-up,D
Linde PLC,https://www.linde.com,xxx-xxx-xxxx,Guildford,England,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
US Hybrid,https://www.ushybrid.com,xxx-xxx-xxxx,Los Angeles,CA,Medium,Discussing tooling solutions to minimize weight variation and improve tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
GenCell Energy,https://www.gencellenergy.com,888-999-1001,Newark,NJ,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
HyperSolar Inc.,https://www.hypersolar.com,805-845-3581,Santa Barbara,CA,Medium,Discussing tooling optimization for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
ITM Power Inc.,https://www.itm-power.com,310-420-0200,Los Angeles,CA,Medium,Discussing tooling options for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"SunHydrogen, Inc.",https://www.sunhydrogen.com,805-845-3581,Goleta,CA,Medium,Discussing tooling solutions for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
Occidental Petroleum,https://www.oxy.com,713-215-7000,Houston,TX,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
NET Power,https://www.netpower.com,713-357-5000,Houston,TX,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Mitsubishi Heavy Industries America,https://www.mhia.com,212-354-3200,New York,NY,High,Discussing tooling compatibility and optimization for their existing presses.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Honeywell UOP,https://www.uop.com,847-391-2000,Des Plaines,IL,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
CeramTec,https://www.ceramtec.com,864-486-2000,Greenville,SC,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Corning Inc.,https://www.corning.com,607-974-9000,Corning,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
3M Ceramics,https://www.3m.com,651-733-1110,Maplewood,MN,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Advanced Ceramic Manufacturer,http://www.acm.com,xxx-xxx-xxxx,Unknown,XX,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Scale-up,D
Rauschert Technical Ceramics,https://www.rauschert.com,573-751-2000,Cape Girardeau,MO,Medium,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NGK Ceramics USA,https://www.ngkceramics.com,xxx-xxx-xxxx,Sikeston,MO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Unifrax,https://www.unifrax.com,716-278-3800,Buffalo,NY,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Schunk Carbon Technology,https://www.schunk-carbontechnology.com,888-724-6582,Morrisville,NC,Medium,Discussing tooling options for optimizing tablet consistency and reducing defects.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Carborundum Universal Ltd.,https://www.cumi.murugappa.com,91-44-2225-5555,Chennai,TN,Medium,Discussing tooling solutions for consistent weight control.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Ortech Advanced Ceramics,https://www.ortechceramics.com,800-346-6874,Huntington Beach,CA,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
"CerCo, LLC",https://www.cerco.com,740-373-2000,Marietta,OH,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"ASML US, Inc.",https://www.asml.com,512-339-3000,Austin,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
GlobalFoundries U.S. Inc.,https://www.globalfoundries.com,518-305-8000,Malta,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"NXP Semiconductors USA, Inc.",https://www.nxp.com,512-428-1000,Austin,TX,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Microchip Technology Incorporated,https://www.microchip.com,480-792-7200,Chandler,AZ,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"AMD (Advanced Micro Devices, Inc.)",https://www.amd.com,408-749-4000,Santa Clara,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Broadcom, Inc.",https://www.broadcom.com,408-433-8000,San Jose,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
L'Oréal USA,https://www.lorealusa.com,212-818-1500,New York,NY,High,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
"Elizabeth Arden, Inc.",https://www.elizabetharden.com,212-251-7000,New York,NY,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Glossier, Inc.",https://www.glossier.com,844-425-5747,New York,NY,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Morphe Brushes,https://www.morphe.com,800-416-0990,Los Angeles,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Agrium Inc.,https://www.nutrien.com,403-225-7000,Calgary,AB,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
CF Industries,https://www.cfindustries.com,847-405-2400,Deerfield,IL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Yara North America,https://www.yara.com,800-234-2269,Baton Rouge,LA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
J.R. Simplot Company,https://www.simplot.com,208-336-2110,Boise,ID,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Wilbur-Ellis Company,https://www.wilburellis.com,415-772-2000,San Francisco,CA,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Brandt Consolidated, Inc.",https://www.brandt.co,217-546-4400,Springfield,IL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,B
Koch Agronomic Services,https://www.kochagronomicservices.com,800-255-5050,Wichita,KS,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"GROWMARK, Inc.",https://www.growmark.com,309-557-6000,Bloomington,IL,High,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
CHS Inc.,https://www.chsinc.com,800-328-6539,Inver Grove Heights,MN,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
SQM North America,https://www.sqm.com,800-999-2499,Sandy,UT,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Nutrien Ag Solutions,https://www.nutrien.com,855-227-4180,Loveland,CO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
PTI Engineered Plastics,https://www.ptiengineeredplastics.com,800-999-PTI1,Holland,MI,Medium,Discussing tooling options for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Harro Höfliger,https://www.hoefliger.com,800-800-8000,Allentown,PA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Pharmatek Laboratories,https://www.pharmatek.com,858-550-1000,San Diego,CA,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Avid Bioservices,https://www.avidbio.com,949-379-2880,Tustin,CA,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Cambrex High Point,https://www.cambrex.com,336-883-1000,High Point,NC,High,Discussing tooling options for optimizing tablet consistency and reducing defects.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Ajanta Pharma USA,https://www.ajantapharma.com,201-343-1000,Woodcliff Lake,NJ,High,Discussing tooling compatibility and optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
BioDuro-Sundia,https://www.bioduro-sundia.com,858-550-0500,San Diego,CA,High,Discussing tooling options for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,B
Pinnacle Biologics,https://www.pinnaclebiologics.com,312-878-2000,Chicago,IL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,B
Zhou Nutrition,https://www.zhounutrition.com,888-947-4692,Cincinnati,OH,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Infinite Labs,https://www.infinitelabs.com,800-123-4567,Orlando,FL,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
BioCare,https://www.biocare.co.uk,xxx-xxx-xxxx,London,UK,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Glanbia Nutritionals,https://www.glanbianutritionals.com,xxx-xxx-xxxx,Chicago,IL,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Gummi World,https://www.gummi-world.com,xxx-xxx-xxxx,Los Angeles,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Solgar, Inc.",https://www.solgar.com,xxx-xxx-xxxx,Leonia,NJ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Carlson Labs,https://www.carlsonlabs.com,xxx-xxx-xxxx,Arlington Heights,IL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Puritan's Pride,https://www.puritan.com,800-645-9600,Ronkonkoma,NY,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Bio-Lab, Inc.",https://www.bio-lab.com,800-423-2452,Lawrenceville,GA,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,B
"HASA, Inc.",https://www.hasapool.com,800-999-4680,San Luis Obispo,CA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Robelle Industries,https://www.robelle.com,800-745-4244,Torrance,CA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
"Solvay Chemicals, Inc.",https://www.solvay.com,800-765-8292,Houston,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Aqua Chem,https://www.aquachem.com,865-573-1000,Knoxville,TN,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Leslie's Pool Supplies,https://www.lesliespool.com,800-LESLIES,Phoenix,AZ,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Haviland Pool & Spa,https://www.havilandusa.com,800-245-5050,Grand Rapids,MI,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
AllChem Industries,http://www.allchem.com,800-234-8000,Wilmington,DE,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Hawkins, Inc.",https://www.hawkinsinc.com,952-854-3315,Roseville,MN,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"ChemTreat, Inc.",https://www.chemtreat.com,800-648-4579,Richmond,VA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
The Pool & Spa Warehouse,https://www.poolandspawarehouse.com,888-728-7665,Phoenix,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Kemira Chemicals, Inc.",https://www.kemira.com,770-805-1800,Atlanta,GA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Nalco Water,https://www.nalco.com,800-288-0879,Naperville,IL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Pentair, Inc.",https://www.pentair.com,800-831-7133,Golden Valley,MN,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"American Water Works Company, Inc.",https://www.amwater.com,856-955-4001,Camden,NJ,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
"US Water Services, Inc.",https://www.uswaterservices.com,727-835-1000,Clearwater,FL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
BWT Pharma & Biotech Inc.,https://www.bwt-pharma.com,610-828-4000,Conshohocken,PA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
"Kroff Chemical Company, Inc.",https://www.kroff.com,412-281-2000,Pittsburgh,PA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Garratt-Callahan Company,https://www.garrattcallahan.com,800-323-9420,San Francisco,CA,High,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Chem-Aqua, Inc.",https://www.chemaqua.com,800-527-9910,Dallas,TX,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Siemens Water Technologies Corp.,https://www.siemens.com/global/en/products/services/water.html,800-241-4453,Tarrytown,NY,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Pace Analytical Services, LLC",https://www.pacelabs.com,800-233-7505,Minneapolis,MN,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Henkel North America,https://www.henkel.com,800-426-4352,Rocky Hill,CT,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Norwex USA,https://www.norwex.com,866-450-7499,Springfield,MO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
"The Honest Company, Inc.",https://www.honest.com,888-862-8818,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Eco Me, Inc.",http://www.ecome.com,unknown,unknown,unknown,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
