Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,AI Decision,AI Compression,AI Division,AI Confidence,Pressure Signals,Competitors,AI Summary
Ultramet,Pacoima,CA,-1952,https://ultramet.com,https://linkedin.com/company/ultramet,Both,West Coast,Fernando Delgado,refractory metals pressing,100,Develops advanced materials and components from refractory metals,,,,,,EDUCATE,medium,Engineering,80,high pressure; medium pressure,Fette; Korsch,There is a medium opportunity for tablet compression in refractory metals pressing with potential risks that need to be addressed.
Elmet Technologies,Lewiston,ME,-6639,https://elmettechnologies.com,https://linkedin.com/company/elmet-technologies,Engineering,Northeast,Raffaele Romano,refractory metals pressing,90,Manufactures tungsten and molybdenum products needing precision pressing,,,,,,ENGAGE,high,Engineering,85,high pressure required for tungsten; medium pressure for molybdenum,Fette; Korsch,"Elmet Technologies presents a high compression opportunity in refractory metals pressing, particularly for tungsten and molybdenum."
Ed Fagan Inc.,Franklin Lakes,NJ,-5094,https://edfagan.com,https://linkedin.com/company/ed-fagan-inc,Engineering,Northeast,Raffaele Romano,refractory metals pressing,90,Specializes in distribution of refractory metals and specialty alloys,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in refractory metals pressing.
Metal Technology,Albany,OR,-11434,https://metaltech.com,https://linkedin.com/company/metal-technology,Engineering,West Coast,Fernando Delgado,refractory metals pressing,90,Fabricates metal products from refractory metals,,,,,,MONITOR,medium,Engineering,75,high pressure required for refractory metals; potential for uneven density distribution,Fette; Korsch,"There is a medium opportunity for tablet compression in refractory metals pressing, but risks related to tool wear and product quality need to be monitored."
Teledyne Technologies Incorporated,Thousand Oaks,CA,-5722,https://teledyne.com,https://linkedin.com/company/teledyne-technologies,Both,West Coast,Fernando Delgado,refractory metals pressing,100,Involved in manufacturing and technology services related to advanced materials,,,,,,MONITOR,medium,Engineering,75,low pressure; medium pressure; high pressure,Fette; Korsch,"Teledyne Technologies has a medium opportunity for tablet compression in refractory metals pressing, requiring monitoring for optimal performance."
Tungsten Heavy Powder & Parts,San Diego,CA,-1401,https://tungstenheavypowder.com,https://linkedin.com/company/tungsten-heavy-powder,Engineering,West Coast,Fernando Delgado,refractory metals pressing,90,Supplies tungsten products which are pressed and sintered,,,,,,ENGAGE,high,Both,85,high pressure required for sintering; pressure uniformity; pressure drop during pressing,Fette; Korsch,There is a significant opportunity to enhance the tablet compression process for tungsten products through improved pressure management and risk mitigation strategies.
Midwest Tungsten Service,Willowbrook,IL,-1955,https://midwesttungsten.com,https://linkedin.com/company/midwest-tungsten-service,Engineering,Central,David Nelson,refractory metals pressing,90,Provides refractory metal products that require precision tooling,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in refractory metals pressing with a focus on precision tooling.
Refractory Metals USA,Fremont,CA,-7642,https://refractorymetalsusa.com,https://linkedin.com/company/refractory-metals-usa,Engineering,West Coast,Fernando Delgado,refractory metals pressing,90,Produces refractory metal products requiring advanced processing,,,,,,ENGAGE,high,Engineering,85,high pressure; medium pressure,Fette; Korsch,"There is a significant opportunity to enhance tablet compression processes for refractory metals, leveraging advanced techniques to improve product quality."
Recro Pharma,Gainesville,GA,-9542,https://recrocdmo.com,https://linkedin.com/company/recro-pharma,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,Specializes in oral solid dose products,,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,Recro Pharma presents a significant opportunity for tablet compression improvements in their oral solid dose products.
Amri Global,Albany,NY,-3029,https://amriglobal.com,https://linkedin.com/company/amri,Both,Northeast,Raffaele Romano,pharmaceutical formulation development,100,Provides comprehensive drug development and manufacturing services,,,,,Yes,ENGAGE,medium,Both,80,high pressure signals; medium pressure signals,Fette; Korsch,Amri Global presents a medium opportunity for tablet compression improvements in pharmaceutical formulation development.
Norwich Pharma Services,North Norwich,NY,-3941,https://norwichpharma.com,https://linkedin.com/company/norwich-pharma-services,Both,Northeast,Raffaele Romano,pharmaceutical formulation development,100,Provides contract development and manufacturing services,,,,,Yes,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,Norwich Pharma Services presents a medium opportunity for tablet compression improvements in their contract manufacturing processes.
Fermion,Huntsville,AL,-2029,https://fermion.com,https://linkedin.com/company/fermion,Scientific,Southeast,Danny Ambrose,drug formulation r&d,90,Specializes in API manufacturing and development,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Fermion presents a medium opportunity for tablet compression improvements in their API manufacturing processes.
Grand River Aseptic Manufacturing,Grand Rapids,MI,-8203,https://grandriverasepticmfg.com,https://linkedin.com/company/grand-river-aseptic-manufacturing,Scientific,Central,David Nelson,drug formulation r&d,90,Provides sterile manufacturing solutions,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in sterile manufacturing solutions.
Ajinomoto Bio-Pharma Services,San Diego,CA,-2612,https://ajibio-pharma.com,https://linkedin.com/company/ajibio-pharma,Both,West Coast,Fernando Delgado,drug formulation r&d,100,Offers wide range of contract manufacturing services including oral solid dosage forms,,,,,Yes,ENGAGE,medium,Both,80,inconsistent tablet weight; high tablet breakage rates,Fette; Korsch,Ajinomoto Bio-Pharma Services presents a medium opportunity for tablet compression improvements in their oral solid dosage forms.
Dow Chemical Company,Midland,MI,-2624,https://www.dow.com,https://linkedin.com/company/dow-chemical,Scientific,Central,David Nelson,excipient development laboratory,90,Offers excipients and research for pharmaceutical manufacturing,,,,,,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in excipient development at Dow Chemical Company.
Gattefossé USA,Paramus,NJ,-5265,https://www.gattefosse.com,https://linkedin.com/company/gattefosse,Scientific,Northeast,Raffaele Romano,excipient development laboratory,90,Specializes in lipid excipients and formulation expertise,,,,,,EDUCATE,medium,Scientific,75,low pressure; medium pressure; high pressure,Fette; Korsch,Gattefossé USA presents a medium opportunity for tablet compression with a focus on lipid excipients.
"Innophos Holdings, Inc.",Cranbury,NJ,-3598,https://www.innophos.com,https://linkedin.com/company/innophos,Scientific,Northeast,Raffaele Romano,excipient development laboratory,90,Offers excipients and support for pharmaceutical manufacturing,,,,,,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements through better excipient utilization and support.
Intertek USA,Houston,TX,-4855,https://intertek.com,https://linkedin.com/company/intertek,Scientific,Central,David Nelson,powder flow testing laboratory,90,"Provides comprehensive analytical testing services, including powder flow testing",,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,Intertek USA's powder flow testing services present a medium opportunity for enhancing tablet compression processes.
Particle Technology Labs,Downers Grove,IL,-4301,https://particletechlabs.com,https://linkedin.com/company/particle-technology-labs,Scientific,Central,David Nelson,powder flow testing laboratory,90,Specializes in particle characterization and powder flow testing,,,,,,EDUCATE,medium,Both,80,low pressure signals; medium pressure signals,Fette; Korsch,There is a medium opportunity for improving tablet compression through enhanced powder flow testing and characterization.
Brookfield Engineering,Middleboro,MA,-7653,https://brookfieldengineering.com,https://linkedin.com/company/brookfield-engineering,Engineering,Northeast,Raffaele Romano,powder flow testing laboratory,90,Manufactures instruments for viscosity and powder flow testing,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified with Brookfield Engineering.
Copley Scientific,Colwick,NJ,-11331,https://copleyscientific.com,https://linkedin.com/company/copley-scientific,Scientific,Northeast,Raffaele Romano,powder flow testing laboratory,90,Supplies powder testing equipment and services,,,,,,MONITOR,none,None,70,,Fette; Korsch,Copley Scientific focuses on powder testing rather than tablet compression opportunities.
HORIBA Instruments,Irvine,CA,-6009,https://horiba.com,https://linkedin.com/company/horiba,Both,West Coast,Fernando Delgado,powder flow testing laboratory,100,Provides laboratory instruments for powder analysis,,,,,,EDUCATE,medium,Both,75,low pressure signals; medium pressure signals,Fette; Korsch,There is a medium opportunity for improving tablet compression processes through better powder flow analysis.
Malvern Panalytical,Westborough,MA,-7675,https://malvernpanalytical.com,https://linkedin.com/company/malvern-panalytical,Scientific,Northeast,Raffaele Romano,powder flow testing laboratory,90,"Offers advanced materials characterization solutions, including powder flow testing",,,,,,EDUCATE,medium,Both,75,low pressure signals; medium pressure signals,Fette; Korsch,There is a medium opportunity for improving tablet compression through enhanced powder flow testing solutions.
EAG Laboratories,Sunnyvale,CA,-11111,https://eag.com,https://linkedin.com/company/eag-laboratories,Scientific,West Coast,Fernando Delgado,powder flow testing laboratory,90,"Provides comprehensive analytical services, including powder characterization",,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure,Fette; Korsch,EAG Laboratories presents a medium opportunity for tablet compression improvements through enhanced powder flow characterization.
Eurofins Scientific,Des Moines,IA,-9172,https://eurofins.com,https://linkedin.com/company/eurofins-scientific,Scientific,Central,David Nelson,powder flow testing laboratory,90,"Provides laboratory testing services for pharmaceutical products, including powder testing",,,,,,EDUCATE,medium,Scientific,80,low pressure; medium pressure; high pressure,Fette; Korsch,Eurofins Scientific presents a medium opportunity for tablet compression improvements through enhanced powder flow testing.
Xcelience,Tampa,FL,-1502,https://xcelience.com,https://linkedin.com/company/xcelience,Both,Southeast,Danny Ambrose,powder flow testing laboratory,100,Offers formulation development and manufacturing for solid dosage forms,,,,,,EDUCATE,medium,Both,75,low pressure signals; medium pressure signals,Fette; Korsch,Xcelience presents a medium opportunity for tablet compression improvements through enhanced formulation development.
"Moderna, Inc.",Cambridge,MA,-7830,https://modernatx.com,https://linkedin.com/company/moderna,Both,Northeast,Raffaele Romano,pharmaceutical analytical development,100,Biotech company with a focus on innovative pharmaceuticals.,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Moderna presents a medium opportunity for tablet compression improvements due to its focus on innovative pharmaceuticals.
Avella Specialty Pharmacy,Phoenix,AZ,-7201,https://avella.com,https://linkedin.com/company/avella-specialty-pharmacy,Scientific,Rocky Mountain,Eric Maughan,503a compounding pharmacy,90,Provides compounding services and may need formulation support,,,,,Yes,ENGAGE,medium,Both,75,low pressure; medium pressure,Fette; Korsch,Avella Specialty Pharmacy presents a medium opportunity for tablet compression support due to their compounding services and potential formulation needs.
Fagron Sterile Services,Wichita,KS,-9347,https://fagronsterile.com,https://linkedin.com/company/fagron,Both,Central,David Nelson,503a compounding pharmacy,100,Offers sterile compounding services that require precise formulation,,,,,Yes,EDUCATE,medium,Both,80,inconsistent tablet density; variability in formulation; potential for over-compression,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in sterile compounding services.
PCCA (Professional Compounding Centers of America),Houston,TX,-3628,https://pccarx.com,https://linkedin.com/company/pcca,Both,Central,David Nelson,503a compounding pharmacy,100,Specializes in compounding pharmacy solutions and R&D,,,,,Yes,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,PCCA presents a medium opportunity for tablet compression improvements through education on best practices.
QuVa Pharma,Sugar Land,TX,-2100,https://quvapharma.com,https://linkedin.com/company/quva-pharma-inc,Scientific,Central,David Nelson,503a compounding pharmacy,90,Specializes in sterile compounding services,,,,,Yes,DEPRIORITIZE,none,None,70,,,QuVa Pharma focuses on sterile compounding and does not present tablet compression opportunities.
Central Admixture Pharmacy Services (CAPS),Lanham,MD,-8150,https://capspharmacy.com,https://linkedin.com/company/central-admixture-pharmacy-services-inc,Scientific,Northeast,Raffaele Romano,503a compounding pharmacy,90,Offers compounded sterile preparations,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for CAPS as a 503a compounding pharmacy.
Pentec Health,Glen Mills,PA,-5398,https://pentechealth.com,https://linkedin.com/company/pentec-health,Scientific,Northeast,Raffaele Romano,503a compounding pharmacy,90,Provides specialty and compounding pharmacy services,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Pentec Health as a 503a compounding pharmacy.
PharMEDium Services,Lake Forest,IL,-9071,https://pharmedium.com,https://linkedin.com/company/pharmedium-services,Both,Central,David Nelson,503a compounding pharmacy,100,Nationwide provider of outsourced compounded sterile preparations,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for PharMEDium Services.
Abrams Royal Compounding Pharmacy,Dallas,TX,-8562,https://abramsroyalpharmacy.com,https://linkedin.com/company/abrams-royal-compounding-pharmacy,Scientific,Central,David Nelson,503a compounding pharmacy,90,Compounding solutions requiring specialized formulation support,,,,,Yes,EDUCATE,none,None,70,,,No immediate tablet compression opportunities identified for specialized formulation support.
Smith's Pharmacy,Brooklyn,NY,-7162,https://smithspharmacy.com,,Scientific,Northeast,Raffaele Romano,503a compounding pharmacy,85,Focuses on custom compounding and personalized medicine,,,,,Yes,DEPRIORITIZE,none,None,70,,,Smith's Pharmacy does not present significant tablet compression opportunities due to its focus on custom compounding.
FarmChem Pharmacy,Los Angeles,CA,-2111,https://farmchempharmacy.com,,Scientific,West Coast,Fernando Delgado,503a compounding pharmacy,85,Specializes in compounding and pharmaceutical formulations,,,,,Yes,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,FarmChem Pharmacy has medium compression opportunities with potential risks that can be mitigated through education on best practices.
New Drug Loft,New York,NY,-2000,https://newdrugloft.com,https://linkedin.com/company/new-drug-loft,Scientific,Northeast,Raffaele Romano,503a compounding pharmacy,90,Provides customized compounding services for patients,,,,,Yes,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in customized compounding services.
Carie Boyd’s Prescription Shop,Hurst,TX,-10474,https://carieboyds.com,https://linkedin.com/company/carie-boyd-s-prescription-shop,Scientific,Central,David Nelson,503a compounding pharmacy,90,Compounding pharmacy offering customized medications,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for a compounding pharmacy.
Soleo Health,McKinney,TX,-5933,https://soleohealth.com,https://linkedin.com/company/soleo-health,Both,Central,David Nelson,503b outsourcing facility,100,Specializes in the production of compounded medications,,,,,,DEPRIORITIZE,none,None,70,,,"Soleo Health focuses on compounded medications, presenting limited opportunities for tablet compression evaluation."
Edge Pharma,Colchester,VT,-2971,https://edgepharma.com,https://linkedin.com/company/edge-pharma,Both,Northeast,Raffaele Romano,503b outsourcing facility,100,Offers sterile and non-sterile compounded medications,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Edge Pharma's current operations.
ASP Cares,San Antonio,TX,-5193,https://aspcares.com,https://linkedin.com/company/asp-cares,Both,Central,David Nelson,503b outsourcing facility,100,Offers pharmacy services including 503B outsourcing and compounding,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the context of 503B outsourcing and compounding services.
PharmaCord,Louisville,KY,-10470,https://pharmacord.com,https://linkedin.com/company/pharmacord,Both,Southeast,Danny Ambrose,503b outsourcing facility,100,Supports specialty drug programs with potential need for formulation services,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the specialty drug programs supported by PharmaCord's 503b outsourcing facility.
ImprimisRx,San Diego,CA,-5601,https://imprimisrx.com,https://linkedin.com/company/imprimisrx,Both,West Coast,Fernando Delgado,503b outsourcing facility,100,Specializes in ophthalmic formulations and sterile compounding,,,,,,DEPRIORITIZE,none,None,70,,,"ImprimisRx focuses on ophthalmic formulations and sterile compounding, presenting no immediate tablet compression opportunities."
RXQ Compounding,Athens,OH,-5270,https://rxqcompounding.com,https://linkedin.com/company/rxq-compounding-llc,Both,Central,David Nelson,503b outsourcing facility,100,503B outsourcing facility providing sterile compounded medications,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the 503B outsourcing facility context.
LSNE Contract Manufacturing,Bedford,NH,-7033,https://lsne.com,https://linkedin.com/company/lsne-contract-manufacturing,Both,Northeast,Raffaele Romano,clinical trial manufacturing,100,Provides contract manufacturing services including lyophilization and tablet manufacturing,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in clinical trial manufacturing at LSNE.
BioDuro-Sundia,San Diego,CA,-7986,https://bioduro-sundia.com,https://linkedin.com/company/bioduro-sundia,Both,West Coast,Fernando Delgado,clinical trial manufacturing,100,Offers integrated drug discovery and development services including solid dose manufacturing,,,,,,MONITOR,medium,Both,75,inconsistent tablet weight; high rejection rates; variability in tablet hardness,Fette; Korsch,There is a medium opportunity for improving tablet compression processes at BioDuro-Sundia to enhance manufacturing efficiency.
Eurofins Scientific,Lancaster,PA,-3672,https://eurofinsus.com,https://linkedin.com/company/eurofins-us,Scientific,Northeast,Raffaele Romano,bioavailability testing lab,90,Offers bioavailability testing and formulation services,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in the bioavailability testing sector.
Pharmatek Laboratories,San Diego,CA,-8045,https://www.pharmatek.com,https://linkedin.com/company/pharmatek,Scientific,West Coast,Fernando Delgado,bioavailability testing lab,90,Specialized in formulation development and analytical services,,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure,Fette; Korsch,"Pharmatek Laboratories presents a medium opportunity for tablet compression improvements, particularly in formulation consistency."
QPS,Newark,DE,-6271,https://qps.com,https://linkedin.com/company/qps,Scientific,Northeast,Raffaele Romano,bioavailability testing lab,90,Conducts bioavailability and pharmacokinetics studies,,,,,,EDUCATE,medium,Scientific,75,inconsistent tablet weight; variability in dissolution rates,Fette; Korsch,There is a medium opportunity to enhance tablet compression processes to improve bioavailability testing outcomes.
Charles River Laboratories,Wilmington,MA,-7002,https://criver.com,https://linkedin.com/company/charles-river-laboratories,Scientific,Northeast,Raffaele Romano,bioavailability testing lab,90,Provides comprehensive drug development and safety testing services,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the bioavailability testing sector.
Recro Pharma,Gainesville,GA,-9542,https://recropharma.com,https://linkedin.com/company/recro-pharma,Both,Southeast,Danny Ambrose,bioavailability testing lab,100,"Engages in contract development and manufacturing, including tablets",,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Recro Pharma presents a medium opportunity for tablet compression improvements in their contract manufacturing processes.
Medpace,Cincinnati,OH,-11002,https://medpace.com,https://linkedin.com/company/medpace,Scientific,Central,David Nelson,bioavailability testing lab,90,Conducts clinical trials with bioavailability and pharmacokinetics focus,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in the bioavailability testing sector.
"PPD, Inc.",Wilmington,NC,-1241,https://ppd.com,https://linkedin.com/company/ppd,Scientific,Southeast,Danny Ambrose,bioavailability testing lab,90,Global CRO providing bioavailability and analytical services,,,,,,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in bioavailability testing services.
Velesco Pharma,Kalamazoo,MI,-1974,https://velescopharma.com,https://linkedin.com/company/velesco-pharma,Both,Central,David Nelson,dissolution testing laboratory,100,Offers formulation and analytical development for solid dosage forms,,,,,,EDUCATE,medium,Both,75,low pressure signals; medium pressure signals,Fette; Korsch,"Velesco Pharma presents a medium opportunity for tablet compression improvements, particularly in addressing variability in dissolution rates."
Althera Life Sciences,Princeton,NJ,-7062,https://altheralifesciences.com,,Both,Northeast,Raffaele Romano,dissolution testing laboratory,95,Focuses on innovative drug delivery technologies and solid oral dosage forms,,,,,,ENGAGE,medium,Both,80,inconsistent tablet hardness; variability in dissolution rates,Fette; Korsch,Althera Life Sciences presents a medium opportunity for tablet compression improvements due to variability in tablet hardness and dissolution rates.
Avista Pharma Solutions,Durham,NC,-4991,https://avistapharma.com,https://linkedin.com/company/avista-pharma-solutions,Both,Southeast,Danny Ambrose,dissolution testing laboratory,100,Provides a wide range of services including formulation and manufacturing for solid dosage forms,,,,,,MONITOR,medium,Both,75,inconsistent tablet hardness; variability in dissolution rates,Fette; Korsch,There is a medium opportunity for improving tablet compression processes at Avista Pharma Solutions to enhance product consistency.
Forensic Fluids Laboratories,Kalamazoo,MI,-3874,https://forensicfluids.com,https://linkedin.com/company/forensic-fluids-laboratories,Scientific,Central,David Nelson,forensic standards laboratory,90,Specializes in drug testing and analysis which could involve formulation services,,,,,,EDUCATE,medium,Both,75,increased pressure may lead to tablet capping; inconsistent tablet weight; potential for increased wear on tooling,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in forensic drug testing formulations.
NMS Labs,Horsham,PA,-5771,https://nmslabs.com,https://linkedin.com/company/nms-labs,Scientific,Northeast,Raffaele Romano,forensic standards laboratory,90,Provides forensic and clinical toxicology services which may require formulation expertise,,,,,,EDUCATE,medium,Both,85,increased pressure may affect tablet integrity; monitoring pressure consistency is crucial,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in forensic toxicology formulations.
Axis Forensic Toxicology,Indianapolis,IN,-5944,https://axisfortox.com,https://linkedin.com/company/axis-forensic-toxicology,Scientific,Central,David Nelson,forensic standards laboratory,90,"Engages in toxicology testing, potentially needing formulation services",,,,,,ENGAGE,medium,Both,80,increased demand for toxicology testing; need for faster turnaround times; regulatory compliance pressures,Fette; Korsch,There is a medium opportunity for tablet compression services in the forensic toxicology sector due to increasing demand and regulatory pressures.
Redwood Toxicology Laboratory,Santa Rosa,CA,-3213,https://redwoodtoxicology.com,,Scientific,West Coast,Fernando Delgado,forensic standards laboratory,85,Laboratory services for drug testing that may require formulation solutions,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression solutions in drug testing formulations at Redwood Toxicology Laboratory.
LabCorp,Burlington,NC,-7811,https://labcorp.com,https://linkedin.com/company/labcorp,Scientific,Southeast,Danny Ambrose,forensic standards laboratory,90,Provides clinical laboratory services including toxicology testing,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the forensic standards laboratory context.
Quest Diagnostics,Secaucus,NJ,-1467,https://questdiagnostics.com,https://linkedin.com/company/quest-diagnostics,Scientific,Northeast,Raffaele Romano,forensic standards laboratory,90,Offers laboratory testing services with a potential need for formulation services,,,,,,ENGAGE,medium,Both,80,increased production speed; consistent tablet weight; reduced material waste,Fette; Korsch,Quest Diagnostics presents a medium opportunity for tablet compression services due to their potential need for formulation services.
MedTox Laboratories,Saint Paul,MN,-4875,https://medtox.labcorp.com,,Scientific,Central,David Nelson,forensic standards laboratory,85,"Provides toxicology testing services, possibly requiring formulation capabilities",,,,,,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,MedTox Laboratories presents a medium opportunity for tablet compression with potential formulation capabilities in toxicology testing.
Alere Toxicology,Richmond,VA,-5168,https://alere.com,https://linkedin.com/company/alere,Scientific,Northeast,Raffaele Romano,forensic standards laboratory,90,Engages in drug testing and monitoring which could benefit from formulation services,,,,,,ENGAGE,medium,Both,85,increased demand for accurate testing; regulatory compliance pressures; cost management,Fette; Korsch,Alere Toxicology presents a medium opportunity for tablet compression services due to the growing need for reliable drug testing formulations.
CRL Corp (Clinical Reference Laboratory),Lenexa,KS,-8161,https://crlcorp.com,https://linkedin.com/company/clinical-reference-laboratory,Scientific,Central,David Nelson,forensic standards laboratory,90,"Offers clinical testing services, including drug testing",,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for CRL Corp.
Helix Biomedix,Bothell,WA,-9226,https://helixbiomedix.com,https://linkedin.com/company/helix-biomedix,Scientific,West Coast,Fernando Delgado,forensic standards laboratory,90,Engages in research and development of bioactive peptides,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in the context of bioactive peptide research.
American Institute of Toxicology (AIT),Indianapolis,IN,-4453,https://aitlabs.com,https://linkedin.com/company/american-institute-of-toxicology,Scientific,Central,David Nelson,forensic standards laboratory,90,Provides testing and analytical services with potential formulation needs,,,,,,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in forensic standards laboratory formulations.
Cordant Health Solutions,Denver,CO,-3877,https://cordantsolutions.com,https://linkedin.com/company/cordant-health-solutions,Scientific,Rocky Mountain,Eric Maughan,forensic standards laboratory,90,Specializes in drug monitoring and testing services,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the forensic standards laboratory sector.
"Omega Laboratories, Inc.",Mogadore,OH,-7033,https://omegalabs.net,https://linkedin.com/company/omega-laboratories-inc-,Scientific,Central,David Nelson,forensic standards laboratory,90,Specializes in hair and oral fluid drug testing,,,,,,DEPRIORITIZE,none,None,70,,,"No tablet compression opportunities identified for Omega Laboratories, Inc."
"Phamatech, Inc.",San Diego,CA,-7362,https://phamatech.com,https://linkedin.com/company/phamatech-inc,Scientific,West Coast,Fernando Delgado,forensic standards laboratory,90,Provides laboratory services including drug testing,,,,,,DEPRIORITIZE,none,None,70,,,"No significant tablet compression opportunities identified for Phamatech, Inc."
Precision Diagnostics,San Diego,CA,-8335,https://precisiondxlab.com,https://linkedin.com/company/precision-diagnostics,Scientific,West Coast,Fernando Delgado,forensic standards laboratory,90,Offers comprehensive drug testing services,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in the forensic standards laboratory context.
Golden Artist Colors Inc.,New Berlin,NY,-7607,https://www.goldenpaints.com,https://linkedin.com/company/golden-artist-colors-inc-,Scientific,Northeast,Raffaele Romano,art conservation pigments lab,90,Produces specialized pigments for art conservation,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Golden Artist Colors Inc.
Kremer Pigments Inc.,New York,NY,-2824,https://www.kremerpigments.com,https://linkedin.com/company/kremer-pigments-inc-,Scientific,Northeast,Raffaele Romano,art conservation pigments lab,90,Supplier of pigments for art restoration and conservation,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Kremer Pigments Inc.
Gamblin Artists Colors,Portland,OR,-2682,https://www.gamblincolors.com,https://linkedin.com/company/gamblin-artists-colors,Scientific,West Coast,Fernando Delgado,art conservation pigments lab,90,Manufactures artist-grade colors and materials for conservation,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the art conservation pigments sector.
"Renaissance Graphic Arts, Inc.",Philadelphia,PA,-3155,https://www.graphicchemical.com,,Scientific,Northeast,Raffaele Romano,art conservation pigments lab,85,Distributes art conservation supplies and materials,,,,,,DEPRIORITIZE,none,None,70,,,"No significant tablet compression opportunities identified for Renaissance Graphic Arts, Inc."
Jerry's Artarama,Raleigh,NC,-8578,https://www.jerrysartarama.com,https://linkedin.com/company/jerry's-artarama,Scientific,Southeast,Danny Ambrose,art conservation pigments lab,90,Sells art materials including conservation supplies,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the art conservation pigments lab.
Sinopia Pigments & Materials,San Francisco,CA,-7148,https://www.sinopiapigments.com,,Scientific,West Coast,Fernando Delgado,art conservation pigments lab,85,Offers pigments and art materials for restoration,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the art conservation pigments sector.
Art Materials LLC,Minneapolis,MN,-9571,https://www.artmaterials.com,,Scientific,Central,David Nelson,art conservation pigments lab,85,Supplies art materials including pigments for conservation,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Art Materials LLC.
Blick Art Materials,Highland Park,IL,-6175,https://www.dickblick.com,https://linkedin.com/company/blick-art-materials,Scientific,Central,David Nelson,art conservation pigments lab,90,"Retailer of art supplies, including conservation materials",,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the art conservation pigments lab.
